time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0,4,138,49,0.9942387878787882,,,,,
0,8,164,85,0.9900060606060608,4.0,310.0,,,
0,12,177,117,0.9862436363636362,3.0,288.0,,,
0,16,176,137,0.9838921212121211,2.0,249.0,,,
0,20,184,166,0.9804824242424243,1.75,240.25,,,
1,24,193,200,0.9764848484848483,1.75,240.25,,,
1,28,199,238,0.9720169696969696,1.8,234.2,,,
1,32,198,256,0.969900606060606,1.8333333333333333,233.83333333333334,,,
1,36,199,287,0.9662557575757578,1.7142857142857142,230.42857142857142,,,
1,40,201,316,0.9628460606060609,1.625,228.625,,,
1,44,201,334,0.9607296969696972,1.625,228.625,,,
1,48,201,354,0.9583781818181815,1.4444444444444444,220.11111111111111,,,
1,52,202,381,0.955203636363636,1.4,218.3,,,
2,56,205,419,0.9507357575757573,1.4545454545454546,220.1818181818182,,,
2,60,208,456,0.9463854545454543,1.5,222.16666666666666,,,
2,64,209,476,0.9440339393939393,1.5,222.16666666666666,,,
2,68,214,536,0.9369793939393942,1.3846153846153846,217.46153846153845,,,
2,72,213,556,0.9346278787878785,1.5714285714285714,225.07142857142858,,,
2,76,213,587,0.9309830303030303,1.5333333333333334,224.66666666666666,,,
2,80,216,625,0.9265151515151516,1.5625,226.0,,,
3,84,218,663,0.9220472727272728,1.5625,226.0,,,
3,88,217,683,0.9196957575757578,1.588235294117647,226.0,,,
3,92,219,721,0.9152278787878785,1.5,222.83333333333334,,,
3,96,223,785,0.90770303030303,1.736842105263158,232.47368421052633,,,
3,100,223,823,0.9032351515151513,1.75,232.7,,,
3,104,226,875,0.8971212121212123,1.75,232.7,,,
3,108,225,893,0.8950048484848487,1.8571428571428572,235.66666666666666,,,
4,112,226,940,0.8894787878787882,1.8181818181818181,234.77272727272728,,,
4,116,225,958,0.8873624242424245,1.826086956521739,234.69565217391303,,,
4,120,226,992,0.8833648484848485,1.8333333333333333,234.625,,,
4,124,225,1012,0.8810133333333335,1.8333333333333333,234.625,,,
4,128,225,1043,0.8773684848484846,1.76,231.44,,,
4,132,225,1073,0.873841212121212,1.7692307692307692,232.30769230769232,,,
4,136,226,1104,0.8701963636363639,1.7407407407407407,231.25925925925927,,,
5,140,228,1154,0.8643175757575756,1.7857142857142858,232.82142857142858,,,
5,144,229,1192,0.8598496969696969,1.7857142857142858,232.82142857142858,,,
5,148,230,1234,0.8549115151515154,1.793103448275862,232.31034482758622,,,
5,152,230,1264,0.8513842424242422,1.8333333333333333,234.83333333333334,,,
5,156,229,1284,0.8490327272727272,1.7741935483870968,232.32258064516128,,,
5,160,231,1333,0.8432715151515153,1.8125,233.78125,,,
5,164,231,1369,0.8390387878787879,1.8125,233.78125,,,
6,168,231,1394,0.8360993939393939,1.8181818181818181,233.42424242424244,,,
6,172,230,1414,0.8337478787878788,1.7941176470588236,232.47058823529412,,,
6,176,229,1434,0.8313963636363638,1.7428571428571429,231.0,,,
6,180,228,1452,0.8292800000000001,1.6944444444444444,229.02777777777777,,,
6,184,228,1470,0.8271636363636364,1.6944444444444444,229.02777777777777,,,
6,188,228,1506,0.8229309090909092,1.6486486486486487,226.94594594594594,,,
6,192,228,1541,0.8188157575757575,1.6842105263157894,227.8684210526316,,,
6,196,228,1569,0.8155236363636363,1.6923076923076923,228.46153846153845,,,
7,200,228,1600,0.8118787878787881,1.675,227.95,,,
7,204,229,1650,0.8059999999999998,1.675,227.95,,,
