episode_reward,episode_length
30.0,30
20.0,20
20.0,20
22.0,22
26.0,26
25.0,25
16.0,16
45.0,45
63.0,63
21.0,21
26.0,26
39.0,39
53.0,53
12.0,12
20.0,20
16.0,16
12.0,12
15.0,15
21.0,21
12.0,12
27.0,27
22.0,22
17.0,17
16.0,16
17.0,17
36.0,36
17.0,17
12.0,12
10.0,10
13.0,13
14.0,14
13.0,13
68.0,68
27.0,27
49.0,49
30.0,30
23.0,23
22.0,22
20.0,20
14.0,14
19.0,19
18.0,18
46.0,46
26.0,26
10.0,10
13.0,13
21.0,21
16.0,16
29.0,29
23.0,23
37.0,37
12.0,12
15.0,15
15.0,15
17.0,17
15.0,15
27.0,27
19.0,19
12.0,12
24.0,24
18.0,18
32.0,32
19.0,19
19.0,19
30.0,30
29.0,29
24.0,24
59.0,59
37.0,37
32.0,32
53.0,53
27.0,27
13.0,13
15.0,15
14.0,14
9.0,9
16.0,16
19.0,19
23.0,23
19.0,19
20.0,20
11.0,11
59.0,59
20.0,20
25.0,25
49.0,49
40.0,40
54.0,54
13.0,13
30.0,30
35.0,35
18.0,18
9.0,9
15.0,15
21.0,21
31.0,31
16.0,16
52.0,52
14.0,14
23.0,23
32.0,32
20.0,20
25.0,25
11.0,11
24.0,24
15.0,15
19.0,19
65.0,65
36.0,36
41.0,41
17.0,17
34.0,34
23.0,23
17.0,17
17.0,17
36.0,36
49.0,49
34.0,34
83.0,83
45.0,45
55.0,55
27.0,27
17.0,17
20.0,20
10.0,10
107.0,107
43.0,43
14.0,14
52.0,52
64.0,64
24.0,24
41.0,41
44.0,44
72.0,72
28.0,28
33.0,33
97.0,97
37.0,37
35.0,35
41.0,41
62.0,62
85.0,85
43.0,43
43.0,43
94.0,94
75.0,75
114.0,114
33.0,33
132.0,132
112.0,112
43.0,43
120.0,120
13.0,13
115.0,115
112.0,112
100.0,100
109.0,109
99.0,99
126.0,126
103.0,103
118.0,118
117.0,117
106.0,106
98.0,98
110.0,110
113.0,113
99.0,99
111.0,111
100.0,100
112.0,112
102.0,102
101.0,101
113.0,113
101.0,101
94.0,94
23.0,23
101.0,101
97.0,97
99.0,99
134.0,134
116.0,116
120.0,120
184.0,184
18.0,18
154.0,154
15.0,15
155.0,155
114.0,114
16.0,16
