episode_reward,episode_length
174.0,174
287.0,287
483.0,483
216.0,216
186.0,186
500.0,500
69.0,69
27.0,27
500.0,500
500.0,500
15.0,15
95.0,95
18.0,18
139.0,139
109.0,109
116.0,116
104.0,104
137.0,137
15.0,15
16.0,16
98.0,98
125.0,125
100.0,100
106.0,106
19.0,19
99.0,99
20.0,20
97.0,97
105.0,105
21.0,21
112.0,112
116.0,116
107.0,107
120.0,120
14.0,14
25.0,25
299.0,299
104.0,104
258.0,258
94.0,94
113.0,113
101.0,101
20.0,20
28.0,28
20.0,20
16.0,16
106.0,106
104.0,104
121.0,121
113.0,113
126.0,126
103.0,103
11.0,11
309.0,309
210.0,210
26.0,26
25.0,25
110.0,110
400.0,400
345.0,345
460.0,460
273.0,273
500.0,500
205.0,205
313.0,313
16.0,16
302.0,302
229.0,229
57.0,57
281.0,281
326.0,326
336.0,336
29.0,29
267.0,267
182.0,182
93.0,93
306.0,306
158.0,158
468.0,468
142.0,142
169.0,169
184.0,184
68.0,68
98.0,98
248.0,248
95.0,95
243.0,243
101.0,101
100.0,100
94.0,94
98.0,98
74.0,74
99.0,99
92.0,92
93.0,93
104.0,104
92.0,92
94.0,94
97.0,97
103.0,103
106.0,106
104.0,104
92.0,92
97.0,97
94.0,94
103.0,103
112.0,112
106.0,106
103.0,103
30.0,30
319.0,319
103.0,103
130.0,130
290.0,290
130.0,130
148.0,148
257.0,257
161.0,161
212.0,212
142.0,142
139.0,139
65.0,65
81.0,81
113.0,113
80.0,80
119.0,119
60.0,60
44.0,44
104.0,104
97.0,97
55.0,55
108.0,108
62.0,62
38.0,38
41.0,41
98.0,98
116.0,116
100.0,100
60.0,60
18.0,18
61.0,61
116.0,116
71.0,71
114.0,114
98.0,98
105.0,105
165.0,165
161.0,161
157.0,157
168.0,168
160.0,160
140.0,140
135.0,135
124.0,124
101.0,101
109.0,109
107.0,107
109.0,109
95.0,95
29.0,29
100.0,100
102.0,102
49.0,49
94.0,94
108.0,108
96.0,96
103.0,103
123.0,123
100.0,100
126.0,126
100.0,100
117.0,117
99.0,99
98.0,98
109.0,109
96.0,96
117.0,117
99.0,99
94.0,94
97.0,97
105.0,105
21.0,21
97.0,97
122.0,122
97.0,97
103.0,103
106.0,106
102.0,102
121.0,121
111.0,111
106.0,106
40.0,40
104.0,104
176.0,176
110.0,110
55.0,55
123.0,123
45.0,45
109.0,109
54.0,54
27.0,27
105.0,105
131.0,131
96.0,96
104.0,104
90.0,90
96.0,96
25.0,25
111.0,111
94.0,94
57.0,57
142.0,142
100.0,100
100.0,100
118.0,118
134.0,134
112.0,112
65.0,65
49.0,49
37.0,37
120.0,120
142.0,142
104.0,104
108.0,108
114.0,114
126.0,126
111.0,111
107.0,107
108.0,108
98.0,98
33.0,33
74.0,74
126.0,126
152.0,152
104.0,104
100.0,100
115.0,115
137.0,137
164.0,164
178.0,178
109.0,109
107.0,107
57.0,57
105.0,105
75.0,75
31.0,31
130.0,130
100.0,100
113.0,113
142.0,142
113.0,113
174.0,174
133.0,133
117.0,117
108.0,108
109.0,109
106.0,106
105.0,105
144.0,144
38.0,38
127.0,127
103.0,103
102.0,102
119.0,119
134.0,134
101.0,101
103.0,103
142.0,142
107.0,107
41.0,41
109.0,109
109.0,109
137.0,137
109.0,109
129.0,129
113.0,113
143.0,143
54.0,54
12.0,12
135.0,135
110.0,110
116.0,116
121.0,121
110.0,110
106.0,106
27.0,27
103.0,103
60.0,60
38.0,38
108.0,108
100.0,100
105.0,105
101.0,101
33.0,33
98.0,98
12.0,12
29.0,29
105.0,105
104.0,104
10.0,10
99.0,99
103.0,103
13.0,13
103.0,103
104.0,104
98.0,98
101.0,101
104.0,104
119.0,119
112.0,112
11.0,11
105.0,105
108.0,108
108.0,108
20.0,20
112.0,112
114.0,114
172.0,172
129.0,129
11.0,11
105.0,105
105.0,105
112.0,112
106.0,106
99.0,99
99.0,99
107.0,107
100.0,100
102.0,102
106.0,106
14.0,14
101.0,101
15.0,15
104.0,104
101.0,101
14.0,14
10.0,10
22.0,22
105.0,105
107.0,107
111.0,111
108.0,108
16.0,16
