time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0,4,141,49,0.9437570370370371,,,,,
0,8,169,85,0.9391703703703702,4.0,310.0,,,
0,12,182,117,0.9350933333333332,3.0,288.0,,,
0,16,183,137,0.9325451851851851,2.0,249.0,,,
0,20,191,166,0.9288503703703703,1.75,240.25,,,
0,24,201,200,0.9245185185185185,1.75,240.25,,,
1,28,207,238,0.919677037037037,1.8,234.2,,,
1,32,206,256,0.9173837037037036,1.8333333333333333,233.83333333333334,,,
1,36,208,287,0.9134340740740741,1.7142857142857142,230.42857142857142,,,
1,40,210,316,0.9097392592592592,1.625,228.625,,,
1,44,211,334,0.9074459259259259,1.625,228.625,,,
1,48,209,354,0.9048977777777778,1.4444444444444444,220.11111111111111,,,
1,52,209,381,0.9014577777777778,1.4,218.3,,,
1,56,211,419,0.8966162962962962,1.4545454545454546,220.1818181818182,,,
2,60,213,456,0.8919022222222223,1.5,222.16666666666666,,,
2,64,213,476,0.889354074074074,1.5,222.16666666666666,,,
2,68,218,536,0.8817096296296296,1.3846153846153846,217.46153846153845,,,
2,72,217,556,0.8791614814814814,1.5714285714285714,225.07142857142858,,,
2,76,218,587,0.8752118518518518,1.5333333333333334,224.66666666666666,,,
2,80,219,625,0.8703703703703705,1.5625,226.0,,,
3,84,220,663,0.8655288888888888,1.5625,226.0,,,
3,88,220,683,0.8629807407407407,1.588235294117647,226.0,,,
3,92,221,721,0.8581392592592592,1.5,222.83333333333334,,,
3,96,226,785,0.8499851851851852,1.736842105263158,232.47368421052633,,,
3,100,224,812,0.8465451851851851,1.7,230.5,0.025432463735342026,0.0009,2
3,104,223,875,0.8385185185185184,1.7,230.5,0.02050815150141716,0.0009,18
4,108,221,920,0.8327851851851851,1.9047619047619047,237.0952380952381,0.04057890176773071,0.0009,29
4,112,219,956,0.8281985185185186,1.9090909090909092,237.6818181818182,0.02189086750149727,0.0009,38
4,116,217,976,0.8256503703703705,1.9130434782608696,237.82608695652175,0.023524796590209007,0.0009,43
4,120,215,996,0.8231022222222222,1.8333333333333333,235.16666666666666,0.05967132747173309,0.0009,48
4,124,214,1014,0.8208088888888889,1.8333333333333333,235.16666666666666,0.020582225173711777,0.0009,53
4,128,212,1034,0.8182607407407407,1.76,231.64,0.023355036973953247,0.0009,58
5,132,211,1070,0.813674074074074,1.7692307692307692,231.84615384615384,0.04277005046606064,0.0009,67
5,136,210,1090,0.8111259259259259,1.7037037037037037,229.11111111111111,0.02263365313410759,0.0009,72
5,140,210,1117,0.8076859259259259,1.6785714285714286,227.42857142857142,0.023793451488018036,0.0009,79
5,144,209,1146,0.8039911111111111,1.6785714285714286,227.42857142857142,0.042735375463962555,0.0009,86
5,148,208,1187,0.7987674074074075,1.6896551724137931,227.55172413793105,0.04811107739806175,0.0009,96
5,152,207,1222,0.7943081481481481,1.7333333333333334,229.13333333333333,0.00034778559347614646,0.0009,105
6,156,206,1258,0.7897214814814815,1.7419354838709677,228.8709677419355,0.004092404618859291,0.0009,114
6,160,205,1307,0.7834785185185186,1.78125,230.4375,0.02396797388792038,0.0009,126
6,164,204,1338,0.7795288888888889,1.78125,230.4375,0.03928789496421814,0.0009,134
6,168,203,1374,0.7749422222222222,1.7878787878787878,230.42424242424244,0.0020585237070918083,0.0009,143
7,172,203,1430,0.7678074074074073,1.8529411764705883,234.26470588235293,0.00440406147390604,0.0009,157
7,176,202,1467,0.7630933333333333,1.8571428571428572,234.68571428571428,0.023826641961932182,0.0009,166
7,180,202,1519,0.7564681481481482,1.8888888888888888,236.47222222222223,0.04263491556048393,0.0009,179
7,184,202,1587,0.7478044444444444,1.8888888888888888,236.47222222222223,0.023658599704504013,0.0009,196
8,188,202,1618,0.7438548148148147,1.945945945945946,239.59459459459458,0.003061792580410838,0.0009,204
8,192,201,1638,0.7413066666666667,1.9210526315789473,239.02631578947367,0.026148047298192978,0.0009,209
8,196,200,1656,0.7390133333333332,1.8717948717948718,237.35897435897436,0.024398084729909897,0.0009,213
8,200,200,1685,0.7353185185185186,1.85,236.45,0.024743255227804184,0.0009,221
8,204,199,1723,0.730477037037037,1.85,236.45,0.025991033762693405,0.0009,230
8,208,199,1743,0.7279288888888888,1.853658536585366,236.390243902439,0.00017080943507608026,0.0009,235
8,212,198,1763,0.7253807407407407,1.8095238095238095,234.76190476190476,0.04103630781173706,0.0009,240
9,216,198,1802,0.7204118518518519,1.813953488372093,234.8139534883721,0.024400051683187485,0.0009,250
9,220,197,1833,0.7164622222222222,1.7954545454545454,234.52272727272728,0.0059849354438483715,0.0009,258
9,224,197,1853,0.7139140740740741,1.7954545454545454,234.52272727272728,0.026255086064338684,0.0009,263
9,228,196,1871,0.7116207407407407,1.7555555555555555,233.2888888888889,0.006161093711853027,0.0009,267
9,232,196,1927,0.7044859259259257,1.7608695652173914,233.32608695652175,0.048856817185878754,0.0009,281
10,236,196,1982,0.6974785185185185,1.8297872340425532,236.25531914893617,0.020308947190642357,0.0009,295
10,240,196,2036,0.6905985185185184,1.8541666666666667,237.58333333333334,0.02667543664574623,0.0009,308
10,244,196,2072,0.6860118518518519,1.8541666666666667,237.58333333333334,0.06129979342222214,0.0009,317
10,248,196,2102,0.6821896296296296,1.8775510204081634,238.16326530612244,0.02635178714990616,0.0009,325
10,252,195,2133,0.67824,1.86,237.36,0.001307591563090682,0.0009,333
11,256,195,2188,0.6712325925925925,1.9019607843137254,238.9607843137255,0.010347004979848862,0.0009,346
11,260,195,2224,0.6666459259259259,1.9038461538461537,239.15384615384616,0.02884586900472641,0.0009,355
11,264,193,2244,0.6640977777777779,1.9038461538461537,239.15384615384616,0.0486164316534996,0.0009,360
11,268,193,2280,0.6595111111111109,1.9056603773584906,239.1320754716981,0.002374683041125536,0.0009,369
12,272,193,2349,0.65072,1.8888888888888888,238.22222222222223,0.02908863127231598,0.0009,387
12,276,193,2392,0.6452414814814815,2.018181818181818,241.29090909090908,0.058193452656269073,0.0009,397
12,280,193,2419,0.6418014814814814,2.0,240.41071428571428,0.02453276887536049,0.0009,404
12,284,192,2439,0.6392533333333335,2.0,240.41071428571428,0.00288323569111526,0.0009,409
12,288,192,2491,0.632628148148148,2.0,240.47368421052633,0.02834068238735199,0.0009,422
13,292,192,2557,0.6242192592592593,2.0172413793103448,240.9655172413793,0.0026972515042871237,0.0009,439
13,296,192,2599,0.6188681481481481,2.0677966101694913,243.35593220338984,0.004184864927083254,0.0009,449
13,300,191,2635,0.6142814814814814,2.066666666666667,243.38333333333333,0.06273839622735977,0.0009,458
13,304,191,2674,0.6093125925925925,2.066666666666667,243.38333333333333,0.04084588959813118,0.0009,468
14,308,191,2702,0.605745185185185,2.0655737704918034,243.29508196721312,0.023844260722398758,0.0009,475
14,312,190,2722,0.603197037037037,2.0483870967741935,242.70967741935485,0.0017668138025328517,0.0009,480
14,316,190,2751,0.5995022222222222,2.0317460317460316,242.17460317460316,0.00501971272751689,0.0009,487
14,320,190,2780,0.5958074074074073,2.015625,241.453125,0.015193501487374306,0.0009,494
14,324,189,2821,0.5905837037037038,2.015625,241.453125,0.020396756008267403,0.0009,505
15,328,189,2867,0.5847229629629629,2.0307692307692307,242.2,0.004364291671663523,0.0009,516
15,332,189,2885,0.5824296296296296,2.0303030303030303,241.96969696969697,0.02597964182496071,0.0009,521
15,336,188,2912,0.5789896296296297,2.014925373134328,241.2537313432836,0.0035043656826019287,0.0009,527
15,340,188,2951,0.5740207407407407,2.014705882352941,241.48529411764707,0.0032812748104333878,0.0009,537
15,344,188,2987,0.569434074074074,2.014705882352941,241.48529411764707,0.01126897893846035,0.0009,546
16,348,188,3017,0.5656118518518517,2.028985507246377,242.0,0.0248236246407032,0.0009,554
16,352,188,3035,0.5633185185185184,2.0,240.8,0.00923531036823988,0.0009,558
16,356,187,3062,0.5598785185185187,1.9859154929577465,240.38028169014083,0.016110394150018692,0.0009,565
16,360,187,3089,0.5564385185185186,1.9722222222222223,239.93055555555554,0.017049096524715424,0.0009,572
16,364,187,3107,0.5541451851851851,1.9722222222222223,239.93055555555554,0.018328208476305008,0.0009,576
16,368,187,3161,0.5472651851851852,1.9452054794520548,238.83561643835617,0.011033937335014343,0.0009,590
17,372,186,3181,0.5447170370370371,1.9594594594594594,239.8918918918919,0.005158695392310619,0.0009,595
17,376,186,3199,0.5424237037037036,1.9333333333333333,238.97333333333333,0.005031623411923647,0.0009,599
17,380,186,3219,0.5398755555555556,1.9078947368421053,238.05263157894737,0.021436212584376335,0.0009,604
17,384,185,3239,0.5373274074074075,1.9078947368421053,238.05263157894737,0.0072476728819310665,0.0009,609
17,388,185,3275,0.5327407407407408,1.8831168831168832,237.06493506493507,0.006835320498794317,0.0009,618
17,392,185,3307,0.5286637037037036,1.8974358974358974,237.7051282051282,0.01972849667072296,0.0009,626
17,396,185,3327,0.5261155555555554,1.8734177215189873,236.77215189873417,0.02787793055176735,0.0009,631
18,400,185,3374,0.5201274074074074,1.8875,237.175,0.0055967895314097404,0.0009,643
18,404,185,3401,0.5166874074074074,1.8875,237.175,0.02266811951994896,0.0009,650
18,408,185,3444,0.5112088888888888,1.876543209876543,236.7283950617284,0.008497240021824837,0.0009,660
18,412,184,3482,0.5063674074074075,1.8902439024390243,237.5121951219512,0.008681217208504677,0.0009,670
19,416,184,3513,0.5024177777777779,1.891566265060241,237.87951807228916,0.0028064539656043053,0.0009,678
19,420,184,3571,0.4950281481481481,1.9166666666666667,238.83333333333334,0.007104963064193726,0.0009,692
19,424,184,3591,0.49247999999999986,1.9166666666666667,238.83333333333334,0.019226577132940292,0.0009,697
19,428,184,3627,0.48789333333333323,1.8941176470588235,237.87058823529412,0.005554297473281622,0.0009,706
19,432,183,3647,0.4853451851851852,1.8953488372093024,237.6860465116279,0.0066689131781458855,0.0009,711
20,436,183,3685,0.4805037037037036,1.8735632183908046,237.01149425287358,0.004055725410580635,0.0009,721
20,440,183,3703,0.4782103703703703,1.875,237.0340909090909,0.007453528698533773,0.0009,725
20,444,183,3739,0.47362370370370377,1.875,237.0340909090909,0.018113775178790092,0.0009,734
20,448,182,3769,0.46980148148148126,1.8876404494382022,237.31460674157304,0.019483430311083794,0.0009,742
20,452,182,3803,0.4654696296296295,1.8888888888888888,237.11111111111111,0.004455249290913343,0.0009,750
21,456,183,3897,0.45349333333333325,1.945054945054945,239.57142857142858,0.003935282118618488,0.0009,774
21,460,183,3933,0.4489066666666667,1.9456521739130435,239.40217391304347,0.0018655266612768173,0.0009,783
21,464,183,3972,0.4439377777777779,1.9456521739130435,239.40217391304347,0.022283872589468956,0.0009,792
21,468,183,4001,0.44024296296296306,1.946236559139785,239.44086021505376,0.054401151835918427,0.0009,800
22,472,182,4030,0.43654814814814824,1.9361702127659575,238.9468085106383,0.009126699529588223,0.0009,807
22,476,182,4060,0.43272592592592607,1.936842105263158,239.09473684210528,0.01073058694601059,0.0009,814
22,480,182,4108,0.4266103703703703,1.9479166666666667,239.47916666666666,0.005942179821431637,0.0009,826
22,484,182,4144,0.4220237037037037,1.9479166666666667,239.47916666666666,0.02579556405544281,0.0009,835
22,488,182,4164,0.4194755555555554,1.9484536082474226,239.4020618556701,0.018579045310616493,0.0009,840
23,492,182,4202,0.41463407407407404,1.9285714285714286,238.75510204081633,0.011851085349917412,0.0009,850
23,496,182,4228,0.4113214814814814,1.9292929292929293,238.6060606060606,0.023999124765396118,0.0009,856
23,500,182,4272,0.4057155555555556,1.94,239.43,0.01144113577902317,0.0009,867
23,504,182,4292,0.4031674074074073,1.94,239.43,0.016406171023845673,0.0009,872
23,508,181,4310,0.40087407407407405,1.9,237.98,0.027631547302007675,0.0009,877
23,512,181,4350,0.3957777777777777,1.89,237.51,0.0051032970659434795,0.0009,887
24,516,181,4368,0.3934844444444444,1.9,237.83,0.0185585618019104,0.0009,891
24,520,181,4388,0.39093629629629634,1.89,237.34,0.012943419627845287,0.0009,896
24,524,181,4417,0.3872414814814815,1.89,237.34,0.015595145523548126,0.0009,904
24,528,181,4470,0.3804888888888889,1.9,238.18,0.0038510344456881285,0.0009,917
24,532,181,4510,0.3753925925925926,1.91,238.35,0.015375177375972271,0.0009,927
25,536,181,4548,0.37055111111111094,1.94,239.32,0.015235355123877525,0.0009,936
