rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
23.0,7963,23.0,92,0,4,0.8918120000000003,,,
21.0,802,21.0,168,0,8,0.885048,0.44763293862342834,67,0.0001
20.25,585,20.25,243,0,12,0.8783730000000002,0.2892249822616577,142,0.0001
20.4375,508,20.4375,327,0,16,0.870897,0.1261334866285324,226,0.0001
21.0,468,21.0,420,0,20,0.8626200000000002,0.04101763293147087,319,0.0001
20.5,445,20.5,492,1,24,0.8562120000000002,0.011884085834026337,391,0.0001
19.75,434,19.75,553,1,28,0.8507830000000002,0.2120930403470993,452,0.0001
19.6875,422,19.6875,630,1,32,0.8439300000000003,0.060694754123687744,529,0.0001
20.11111111111111,413,20.11111111111111,724,1,36,0.8355639999999998,0.023747090250253677,623,0.0001
20.25,401,20.25,810,2,40,0.82791,0.006491729989647865,709,0.0001
19.681818181818183,398,19.681818181818183,866,2,44,0.822926,0.038325484842061996,765,0.0001
19.145833333333332,395,19.145833333333332,919,2,48,0.8182090000000002,0.04384041577577591,818,0.0001
19.73076923076923,390,19.73076923076923,1026,2,52,0.8086860000000001,0.17263822257518768,925,0.0001
19.071428571428573,385,19.071428571428573,1068,2,56,0.8049479999999998,0.12058985233306885,967,0.0001
19.3,380,19.3,1158,3,60,0.7969380000000001,0.09025157243013382,1057,0.0001
19.09375,378,19.09375,1222,3,64,0.791242,0.0961565375328064,1121,0.0001
19.058823529411764,378,19.058823529411764,1296,3,68,0.7846560000000002,0.17218971252441406,1195,0.0001
19.23611111111111,377,19.23611111111111,1385,3,72,0.7767350000000003,0.05703950300812721,1284,0.0001
18.94736842105263,375,18.94736842105263,1440,3,76,0.7718399999999999,0.037727344781160355,1339,0.0001
18.8,373,18.8,1504,4,80,0.766144,0.4425734579563141,1403,0.0001
19.38095238095238,370,19.38095238095238,1628,4,84,0.7551079999999999,0.2219802588224411,1527,0.0001
19.181818181818183,370,19.181818181818183,1688,4,88,0.749768,0.15213081240653992,1587,0.0001
19.032608695652176,369,19.032608695652176,1751,4,92,0.7441609999999999,0.1119532659649849,1650,0.0001
18.927083333333332,362,18.927083333333332,1817,5,96,0.7382869999999999,0.1340159922838211,1716,0.0001
18.64,360,18.64,1864,5,100,0.7341040000000001,0.22056929767131805,1763,0.0001
18.32,357,18.32,1924,5,104,0.7287640000000002,0.15743376314640045,1823,0.0001
18.33,355,18.33,2001,5,108,0.7219110000000003,0.43076810240745544,1900,0.0001
18.39,356,18.39,2082,5,112,0.714702,0.1569102257490158,1981,0.0001
18.22,356,18.22,2149,6,116,0.708739,0.2315458357334137,2048,0.0001
17.99,353,17.99,2219,6,120,0.7025090000000002,0.0035340909380465746,2118,0.0001
18.2,348,18.2,2312,6,124,0.6942319999999997,0.186597540974617,2211,0.0001
18.25,347,18.25,2378,6,128,0.6883579999999998,0.006439944729208946,2277,0.0001
18.35,347,18.35,2465,7,132,0.680615,0.023352939635515213,2364,0.0001
18.34,348,18.34,2558,7,136,0.6723380000000001,0.3220255970954895,2457,0.0001
18.47,347,18.47,2657,7,140,0.6635270000000002,0.2646888196468353,2556,0.0001
18.72,345,18.72,2738,7,144,0.656318,0.07704048603773117,2637,0.0001
19.73,345,19.73,2892,8,148,0.642612,0.14676053822040558,2791,0.0001
19.89,344,19.89,3015,8,152,0.6316649999999999,0.0694001168012619,2914,0.0001
20.42,343,20.42,3110,9,156,0.6232099999999998,0.23370058834552765,3009,0.0001
20.92,343,20.92,3250,9,160,0.6107500000000003,0.004070967435836792,3149,0.0001
21.25,340,21.25,3347,9,164,0.602117,0.005702568218111992,3246,0.0001
22.17,340,22.17,3513,10,168,0.5873430000000002,0.3963333070278168,3412,0.0001
23.53,332,23.53,3738,11,172,0.5673180000000003,0.1348835527896881,3637,0.0001
24.88,332,24.88,3928,11,176,0.5504080000000002,0.2076760232448578,3827,0.0001
25.64,332,25.64,4068,12,180,0.5379480000000001,0.4292466938495636,3967,0.0001
27.15,332,27.15,4343,13,184,0.5134729999999998,0.38582679629325867,4242,0.0001
28.58,329,28.58,4546,13,188,0.49540600000000007,0.3776039481163025,4445,0.0001
31.04,328,31.04,4855,14,192,0.4679050000000002,0.15445289015769958,4754,0.0001
35.04,329,35.04,5321,16,196,0.4264310000000002,0.5476887822151184,5220,0.0001
42.75,320,42.75,6139,19,200,0.3536290000000001,0.43046924471855164,6038,0.0001
49.65,316,49.65,6889,21,204,0.286879,0.3928581774234772,6788,0.0001
56.59,313,56.59,7660,24,208,0.21826000000000012,0.005319937597960234,7559,0.0001
62.11,313,62.11,8293,26,212,0.16192300000000004,0.009091388434171677,8192,0.0001
69.27,310,69.27,9076,29,216,0.09223599999999998,0.825742781162262,8975,0.0001
75.83,310,75.83,9802,31,220,0.027622000000000035,0.004049028269946575,9701,0.0001
82.85,310,82.85,10597,34,224,0.01,0.0053278598934412,10496,0.0001
89.26,308,89.26,11304,36,228,0.01,0.014654865488409996,11203,0.0001
96.96,309,96.96,12161,39,232,0.01,0.810906708240509,12060,0.0001
105.02,305,105.02,13060,42,236,0.01,0.003552712732926011,12959,0.0001
115.13,304,115.13,14170,46,240,0.01,0.0023830141872167587,14069,0.0001
122.24,305,122.24,14962,48,244,0.01,0.011052996851503849,14861,0.0001
129.72,305,129.72,15864,51,248,0.01,0.0007299974677152932,15763,0.0001
137.54,306,137.54,16769,54,252,0.01,0.0008207987411879003,16668,0.0001
147.43,306,147.43,17853,58,256,0.01,0.0011203867616131902,17752,0.0001
156.17,307,156.17,18867,61,260,0.01,0.0007577403448522091,18766,0.0001
162.89,307,162.89,19636,63,264,0.01,0.0010252202628180385,19535,0.0001
171.76,307,171.76,20689,67,268,0.01,0.00041004540980793536,20588,0.0001
182.06,306,182.06,21944,71,272,0.01,0.5621832609176636,21843,0.0001
188.09,307,188.09,22737,73,276,0.01,0.0020180565770715475,22636,0.0001
196.91,305,196.91,23759,77,280,0.01,0.0006367285386659205,23658,0.0001
204.5,305,204.5,24793,81,284,0.01,0.00027139828307554126,24692,0.0001
210.36,305,210.36,25582,83,288,0.01,0.00024404902069363743,25481,0.0001
214.03,305,214.03,26258,85,292,0.01,0.0006605233647860587,26157,0.0001
216.15,305,216.15,26936,88,296,0.01,0.002230436308309436,26835,0.0001
215.45,305,215.45,27684,90,300,0.01,0.0010980784427374601,27583,0.0001
215.44,305,215.44,28433,93,304,0.01,0.5817912220954895,28332,0.0001
215.12,305,215.12,29172,95,308,0.01,0.00043495564023032784,29071,0.0001
216.57,306,216.57,29950,97,312,0.01,0.0005762182408943772,29849,0.0001
216.09,306,216.09,30685,100,316,0.01,0.5189470648765564,30584,0.0001
216.75,307,216.75,31477,102,320,0.01,0.00038202916039153934,31376,0.0001
217.01,307,217.01,32298,105,324,0.01,0.0006428780034184456,32197,0.0001
218.47,307,218.47,33151,107,328,0.01,0.0011181654408574104,33050,0.0001
217.95,305,217.95,33956,110,332,0.01,0.0006657431367784739,33855,0.0001
217.51,305,217.51,34811,113,336,0.01,0.0005879648379050195,34710,0.0001
216.98,304,216.98,35868,117,340,0.01,0.0015098277945071459,35767,0.0001
217.43,305,217.43,36705,120,344,0.01,0.000757052970584482,36604,0.0001
217.73,304,217.73,37637,123,348,0.01,0.0015127123333513737,37536,0.0001
216.95,304,216.95,38464,126,352,0.01,0.0004012048593722284,38363,0.0001
217.76,304,217.76,39629,130,356,0.01,0.4633767306804657,39528,0.0001
216.11,304,216.11,40478,132,360,0.01,0.0022838329896330833,40377,0.0001
217.66,304,217.66,41402,135,364,0.01,0.0011418199865147471,41301,0.0001
219.56,305,219.56,42645,139,368,0.01,0.0006239276845008135,42544,0.0001
217.7,305,217.7,43714,143,372,0.01,0.00036998739233240485,43613,0.0001
222.75,303,222.75,45012,148,376,0.01,0.4847174882888794,44911,0.0001
221.56,303,221.56,45915,151,380,0.01,0.0006119859172031283,45814,0.0001
