time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0,4,142,49,0.9946800000000001,,,,,
0,8,170,85,0.9907714285714285,4.0,310.0,,,
0,12,184,117,0.9872971428571431,3.0,288.0,,,
0,16,186,137,0.9851257142857142,2.0,249.0,,,
0,20,194,166,0.9819771428571428,1.75,240.25,,,
0,24,203,200,0.9782857142857144,1.75,240.25,,,
1,28,210,238,0.9741599999999999,1.8,234.2,,,
1,32,209,256,0.9722057142857142,1.8333333333333333,233.83333333333334,,,
1,36,210,287,0.96884,1.7142857142857142,230.42857142857142,,,
1,40,213,316,0.9656914285714288,1.625,228.625,,,
1,44,213,334,0.9637371428571427,1.625,228.625,,,
1,48,212,354,0.9615657142857141,1.4444444444444444,220.11111111111111,,,
1,52,213,381,0.9586342857142858,1.4,218.3,,,
1,56,216,419,0.9545085714285716,1.4545454545454546,220.1818181818182,,,
2,60,219,456,0.9504914285714288,1.5,222.16666666666666,,,
2,64,219,476,0.9483200000000002,1.5,222.16666666666666,,,
2,68,224,536,0.9418057142857142,1.3846153846153846,217.46153846153845,,,
2,72,222,556,0.9396342857142858,1.5714285714285714,225.07142857142858,,,
2,76,222,587,0.9362685714285716,1.5333333333333334,224.66666666666666,,,
2,80,224,625,0.9321428571428569,1.5625,226.0,,,
2,84,225,663,0.9280171428571429,1.5625,226.0,,,
3,88,224,683,0.9258457142857143,1.588235294117647,226.0,,,
3,92,225,721,0.9217200000000002,1.5,222.83333333333334,,,
3,96,229,785,0.9147714285714285,1.736842105263158,232.47368421052633,,,
3,100,230,823,0.9106457142857143,1.75,232.7,,,
3,104,233,875,0.9049999999999999,1.75,232.7,,,
3,108,232,893,0.9030457142857143,1.8571428571428572,235.66666666666666,,,
4,112,233,940,0.8979428571428569,1.8181818181818181,234.77272727272728,,,
4,116,232,958,0.8959885714285714,1.826086956521739,234.69565217391303,,,
4,120,232,992,0.892297142857143,1.8333333333333333,234.625,,,
4,124,232,1012,0.8901257142857144,1.8333333333333333,234.625,,,
4,128,232,1043,0.8867599999999998,1.76,231.44,,,
4,132,233,1073,0.8835028571428573,1.7692307692307692,232.30769230769232,,,
4,136,233,1104,0.8801371428571431,1.7407407407407407,231.25925925925927,,,
4,140,235,1154,0.8747085714285716,1.7857142857142858,232.82142857142858,,,
5,144,236,1192,0.870582857142857,1.7857142857142858,232.82142857142858,,,
5,148,236,1234,0.8660228571428571,1.793103448275862,232.31034482758622,,,
5,152,236,1264,0.8627657142857141,1.8333333333333333,234.83333333333334,,,
5,156,236,1284,0.8605942857142856,1.7741935483870968,232.32258064516128,,,
5,160,237,1333,0.8552742857142858,1.8125,233.78125,,,
5,164,238,1369,0.8513657142857145,1.8125,233.78125,,,
5,168,237,1394,0.8486514285714286,1.8181818181818181,233.42424242424244,,,
5,172,236,1414,0.84648,1.7941176470588236,232.47058823529412,,,
6,176,236,1434,0.8443085714285715,1.7428571428571429,231.0,,,
6,180,235,1452,0.8423542857142859,1.6944444444444444,229.02777777777777,,,
6,184,235,1470,0.8403999999999998,1.6944444444444444,229.02777777777777,,,
6,188,235,1506,0.8364914285714287,1.6486486486486487,226.94594594594594,,,
6,192,235,1541,0.8326914285714286,1.6842105263157894,227.8684210526316,,,
6,196,235,1569,0.8296514285714285,1.6923076923076923,228.46153846153845,,,
6,200,236,1600,0.8262857142857143,1.675,227.95,,,
6,204,237,1650,0.8208571428571428,1.675,227.95,,,
7,208,236,1668,0.8189028571428572,1.7073170731707317,229.29268292682926,,,
7,212,237,1730,0.8121714285714288,1.7142857142857142,229.85714285714286,,,
7,216,237,1779,0.8068514285714286,1.744186046511628,231.04651162790697,,,
7,220,236,1795,0.8051142857142858,1.75,231.11363636363637,,,
7,224,236,1815,0.8029428571428573,1.75,231.11363636363637,,,
7,228,237,1861,0.7979485714285716,1.711111111111111,229.95555555555555,,,
7,232,236,1879,0.7959942857142855,1.7391304347826086,230.7608695652174,,,
8,236,238,1942,0.7891542857142859,1.7872340425531914,232.93617021276594,,,
8,240,238,1969,0.786222857142857,1.7708333333333333,232.08333333333334,,,
8,244,238,2011,0.7816628571428571,1.7708333333333333,232.08333333333334,,,
8,248,238,2029,0.7797085714285714,1.7755102040816326,232.28571428571428,,,
8,252,237,2049,0.7775371428571429,1.74,230.72,,,
8,256,237,2078,0.7743885714285716,1.7254901960784315,230.4313725490196,,,
8,260,238,2142,0.7674399999999999,1.7884615384615385,232.8846153846154,,,
9,264,239,2187,0.7625542857142859,1.7884615384615385,232.8846153846154,,,
9,268,239,2216,0.7594057142857145,1.8113207547169812,233.45283018867926,,,
9,272,239,2245,0.7562571428571427,1.8148148148148149,233.46296296296296,,,
9,276,239,2274,0.7531085714285715,1.8,232.6909090909091,,,
9,280,239,2310,0.7491999999999999,1.8035714285714286,232.60714285714286,,,
9,284,239,2341,0.7458342857142856,1.8035714285714286,232.60714285714286,,,
9,288,240,2401,0.73932,1.8070175438596492,232.98245614035088,,,
10,292,241,2437,0.7354114285714288,1.8620689655172413,235.0344827586207,,,
10,296,240,2457,0.7332399999999999,1.8305084745762712,233.67796610169492,,,
10,300,240,2493,0.7293314285714286,1.8333333333333333,233.86666666666667,,,
10,304,239,2520,0.7264000000000002,1.8333333333333333,233.86666666666667,0.02289969101548195,0.0005,4
10,308,238,2577,0.7202114285714287,1.8524590163934427,234.50819672131146,0.008375250734388828,0.0005,19
11,312,237,2613,0.7163028571428571,1.8870967741935485,235.7258064516129,0.014387309551239014,0.0005,28
11,316,236,2644,0.7129371428571429,1.873015873015873,235.46031746031747,0.00859027449041605,0.0005,35
11,320,235,2669,0.7102228571428574,1.859375,234.59375,0.02919437736272812,0.0005,42
11,324,234,2707,0.7060971428571428,1.859375,234.59375,0.015562484040856361,0.0005,51
11,328,233,2739,0.7026228571428574,1.876923076923077,235.27692307692308,0.02897384576499462,0.0005,59
12,332,232,2788,0.6973028571428571,1.893939393939394,236.1818181818182,0.036395102739334106,0.0005,71
12,336,231,2828,0.69296,1.8955223880597014,236.3134328358209,0.02975958026945591,0.0005,81
12,340,230,2848,0.6907885714285715,1.8676470588235294,235.48529411764707,0.02231324464082718,0.0005,86
12,344,229,2877,0.6876399999999998,1.8676470588235294,235.48529411764707,0.02185475081205368,0.0005,94
12,348,228,2904,0.6847085714285714,1.855072463768116,234.9855072463768,0.009073429740965366,0.0005,100
12,352,227,2924,0.682537142857143,1.8428571428571427,234.5142857142857,0.02193797565996647,0.0005,105
13,356,227,2960,0.6786285714285716,1.8450704225352113,234.69014084507043,0.015038495883345604,0.0005,114
13,360,226,2996,0.67472,1.8472222222222223,234.86111111111111,0.02805647812783718,0.0005,123
13,364,225,3016,0.6725485714285715,1.8472222222222223,234.86111111111111,0.015182637609541416,0.0005,128
13,368,224,3036,0.670377142857143,1.821917808219178,233.94520547945206,0.015830209478735924,0.0005,133
13,372,223,3056,0.6682057142857145,1.7972972972972974,233.22972972972974,0.014832377433776855,0.0005,138
13,376,223,3092,0.6642971428571427,1.8,233.4,0.015571871772408485,0.0005,147
13,380,222,3112,0.6621257142857142,1.7763157894736843,232.55263157894737,0.020554864779114723,0.0005,152
14,384,222,3132,0.6599542857142857,1.7763157894736843,232.55263157894737,0.0011289352551102638,0.0005,157
14,388,221,3148,0.6582171428571431,1.7532467532467533,231.53246753246754,0.02096148580312729,0.0005,161
14,392,220,3166,0.656262857142857,1.7307692307692308,230.56410256410257,0.008064916357398033,0.0005,166
14,396,220,3204,0.6521371428571429,1.7341772151898733,230.63291139240508,0.03195585310459137,0.0005,175
14,400,219,3252,0.6469257142857143,1.75,231.1625,0.012916849926114082,0.0005,187
15,404,219,3288,0.643017142857143,1.75,231.1625,0.006299706641584635,0.0005,196
15,408,218,3329,0.6385657142857144,1.7530864197530864,231.23456790123456,0.021411987021565437,0.0005,207
15,412,217,3347,0.6366114285714287,1.7560975609756098,231.5487804878049,0.01767595484852791,0.0005,211
15,416,217,3383,0.632702857142857,1.7590361445783131,231.710843373494,0.028476720675826073,0.0005,220
