rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
23.0,7426,23.0,92,0,4,0.9825200000000005,,,
25.375,648,25.375,203,0,8,0.9614300000000005,0.0007492895238101482,102,0.002
26.083333333333332,441,26.083333333333332,313,0,12,0.9405299999999996,0.00010171849862672389,212,0.002
25.8125,402,25.8125,413,1,16,0.9215299999999995,5.580242941505276e-05,312,0.002
25.15,386,25.15,503,1,20,0.9044300000000004,0.30606669187545776,402,0.002
24.833333333333332,365,24.833333333333332,596,1,24,0.8867599999999997,0.0037542907521128654,495,0.002
26.071428571428573,345,26.071428571428573,730,2,28,0.8613000000000005,0.012890717945992947,629,0.002
25.5625,342,25.5625,818,2,32,0.8445799999999997,0.017823874950408936,717,0.002
25.916666666666668,342,25.916666666666668,933,2,36,0.82273,0.017643151804804802,832,0.002
24.8,336,24.8,992,2,40,0.8115200000000004,0.0016051732236519456,891,0.002
24.295454545454547,332,24.295454545454547,1069,3,44,0.7968900000000004,0.0686914324760437,968,0.002
23.770833333333332,327,23.770833333333332,1141,3,48,0.7832100000000005,0.019044164568185806,1040,0.002
23.365384615384617,308,23.365384615384617,1215,3,52,0.7691500000000001,0.003368983045220375,1114,0.002
23.0,290,23.0,1288,4,56,0.75528,0.010950444266200066,1187,0.002
23.05,287,23.05,1383,4,60,0.7372299999999998,0.005738033913075924,1282,0.002
22.65625,287,22.65625,1450,5,64,0.7244999999999998,0.01358071994036436,1349,0.002
22.573529411764707,288,22.573529411764707,1535,5,68,0.7083500000000005,0.07299282401800156,1434,0.002
22.72222222222222,290,22.72222222222222,1636,5,72,0.6891600000000002,0.009967603720724583,1535,0.002
23.394736842105264,291,23.394736842105264,1778,6,76,0.6621799999999997,0.03506968170404434,1677,0.002
23.125,293,23.125,1850,6,80,0.6484999999999997,0.008301261812448502,1749,0.002
22.738095238095237,294,22.738095238095237,1910,6,84,0.6371,0.003965361043810844,1809,0.002
24.522727272727273,297,24.522727272727273,2158,7,88,0.5899800000000003,0.010485378094017506,2057,0.002
25.445652173913043,299,25.445652173913043,2341,7,92,0.5552100000000003,0.008110832422971725,2240,0.002
