episode_reward,episode_length
30.0,30
20.0,20
20.0,20
22.0,22
27.0,27
12.0,12
23.0,23
14.0,14
19.0,19
26.0,26
18.0,18
12.0,12
28.0,28
17.0,17
17.0,17
22.0,22
31.0,31
11.0,11
31.0,31
20.0,20
15.0,15
18.0,18
20.0,20
19.0,19
15.0,15
20.0,20
16.0,16
10.0,10
12.0,12
11.0,11
41.0,41
13.0,13
22.0,22
38.0,38
23.0,23
11.0,11
38.0,38
15.0,15
16.0,16
17.0,17
9.0,9
23.0,23
10.0,10
14.0,14
10.0,10
13.0,13
18.0,18
12.0,12
16.0,16
36.0,36
30.0,30
25.0,25
13.0,13
11.0,11
9.0,9
9.0,9
14.0,14
58.0,58
8.0,8
10.0,10
29.0,29
13.0,13
10.0,10
12.0,12
11.0,11
19.0,19
21.0,21
23.0,23
14.0,14
12.0,12
13.0,13
50.0,50
16.0,16
13.0,13
15.0,15
11.0,11
12.0,12
11.0,11
15.0,15
26.0,26
25.0,25
10.0,10
46.0,46
43.0,43
11.0,11
23.0,23
15.0,15
11.0,11
28.0,28
11.0,11
12.0,12
12.0,12
10.0,10
22.0,22
15.0,15
19.0,19
9.0,9
10.0,10
13.0,13
15.0,15
17.0,17
11.0,11
13.0,13
19.0,19
13.0,13
28.0,28
16.0,16
20.0,20
17.0,17
29.0,29
14.0,14
21.0,21
15.0,15
27.0,27
11.0,11
14.0,14
10.0,10
25.0,25
11.0,11
24.0,24
13.0,13
26.0,26
11.0,11
43.0,43
11.0,11
20.0,20
17.0,17
18.0,18
23.0,23
20.0,20
21.0,21
23.0,23
29.0,29
28.0,28
25.0,25
11.0,11
21.0,21
12.0,12
33.0,33
33.0,33
12.0,12
22.0,22
24.0,24
23.0,23
49.0,49
51.0,51
23.0,23
31.0,31
39.0,39
25.0,25
12.0,12
47.0,47
14.0,14
33.0,33
29.0,29
19.0,19
33.0,33
20.0,20
32.0,32
55.0,55
25.0,25
29.0,29
22.0,22
21.0,21
31.0,31
45.0,45
27.0,27
63.0,63
93.0,93
51.0,51
61.0,61
20.0,20
23.0,23
33.0,33
107.0,107
27.0,27
25.0,25
77.0,77
13.0,13
25.0,25
63.0,63
105.0,105
71.0,71
36.0,36
28.0,28
28.0,28
106.0,106
41.0,41
19.0,19
90.0,90
163.0,163
37.0,37
82.0,82
217.0,217
92.0,92
75.0,75
191.0,191
262.0,262
150.0,150
215.0,215
246.0,246
195.0,195
146.0,146
163.0,163
219.0,219
149.0,149
171.0,171
232.0,232
171.0,171
170.0,170
137.0,137
155.0,155
147.0,147
205.0,205
195.0,195
236.0,236
161.0,161
150.0,150
230.0,230
185.0,185
241.0,241
160.0,160
172.0,172
222.0,222
156.0,156
159.0,159
221.0,221
171.0,171
371.0,371
151.0,151
180.0,180
155.0,155
202.0,202
212.0,212
314.0,314
171.0,171
226.0,226
329.0,329
252.0,252
303.0,303
174.0,174
241.0,241
205.0,205
172.0,172
221.0,221
200.0,200
197.0,197
284.0,284
208.0,208
252.0,252
161.0,161
284.0,284
460.0,460
198.0,198
204.0,204
222.0,222
340.0,340
257.0,257
236.0,236
181.0,181
194.0,194
152.0,152
259.0,259
164.0,164
325.0,325
327.0,327
195.0,195
206.0,206
387.0,387
245.0,245
386.0,386
237.0,237
189.0,189
179.0,179
224.0,224
201.0,201
166.0,166
247.0,247
442.0,442
167.0,167
280.0,280
200.0,200
342.0,342
212.0,212
160.0,160
249.0,249
209.0,209
171.0,171
152.0,152
141.0,141
178.0,178
205.0,205
212.0,212
164.0,164
150.0,150
152.0,152
175.0,175
195.0,195
226.0,226
152.0,152
225.0,225
146.0,146
200.0,200
178.0,178
183.0,183
180.0,180
163.0,163
213.0,213
158.0,158
147.0,147
251.0,251
222.0,222
218.0,218
147.0,147
221.0,221
149.0,149
176.0,176
222.0,222
177.0,177
217.0,217
180.0,180
249.0,249
196.0,196
196.0,196
181.0,181
193.0,193
292.0,292
187.0,187
170.0,170
257.0,257
177.0,177
201.0,201
202.0,202
224.0,224
242.0,242
187.0,187
343.0,343
199.0,199
249.0,249
266.0,266
250.0,250
198.0,198
174.0,174
215.0,215
225.0,225
258.0,258
247.0,247
202.0,202
200.0,200
239.0,239
173.0,173
215.0,215
157.0,157
357.0,357
211.0,211
440.0,440
188.0,188
199.0,199
185.0,185
277.0,277
165.0,165
200.0,200
267.0,267
292.0,292
301.0,301
235.0,235
254.0,254
453.0,453
214.0,214
360.0,360
220.0,220
275.0,275
428.0,428
223.0,223
262.0,262
385.0,385
228.0,228
210.0,210
222.0,222
243.0,243
259.0,259
275.0,275
260.0,260
191.0,191
230.0,230
286.0,286
358.0,358
282.0,282
237.0,237
236.0,236
204.0,204
301.0,301
319.0,319
282.0,282
233.0,233
