episode_reward,episode_length
30.0,30
20.0,20
20.0,20
22.0,22
26.0,26
25.0,25
16.0,16
37.0,37
22.0,22
21.0,21
58.0,58
43.0,43
35.0,35
19.0,19
15.0,15
24.0,24
12.0,12
23.0,23
34.0,34
43.0,43
10.0,10
18.0,18
13.0,13
19.0,19
16.0,16
28.0,28
11.0,11
16.0,16
17.0,17
16.0,16
21.0,21
17.0,17
16.0,16
43.0,43
13.0,13
10.0,10
30.0,30
15.0,15
14.0,14
26.0,26
11.0,11
11.0,11
25.0,25
12.0,12
14.0,14
12.0,12
11.0,11
11.0,11
14.0,14
20.0,20
14.0,14
20.0,20
16.0,16
13.0,13
52.0,52
33.0,33
17.0,17
26.0,26
15.0,15
23.0,23
10.0,10
16.0,16
29.0,29
25.0,25
19.0,19
14.0,14
16.0,16
51.0,51
17.0,17
28.0,28
35.0,35
42.0,42
14.0,14
10.0,10
71.0,71
12.0,12
29.0,29
23.0,23
17.0,17
15.0,15
13.0,13
32.0,32
13.0,13
17.0,17
33.0,33
41.0,41
38.0,38
15.0,15
51.0,51
75.0,75
61.0,61
27.0,27
45.0,45
18.0,18
18.0,18
20.0,20
15.0,15
25.0,25
18.0,18
15.0,15
45.0,45
17.0,17
76.0,76
42.0,42
65.0,65
46.0,46
16.0,16
59.0,59
17.0,17
42.0,42
28.0,28
104.0,104
13.0,13
46.0,46
20.0,20
43.0,43
89.0,89
58.0,58
45.0,45
36.0,36
27.0,27
20.0,20
104.0,104
106.0,106
40.0,40
61.0,61
36.0,36
58.0,58
29.0,29
131.0,131
23.0,23
62.0,62
46.0,46
126.0,126
48.0,48
69.0,69
218.0,218
139.0,139
53.0,53
14.0,14
186.0,186
134.0,134
144.0,144
64.0,64
41.0,41
314.0,314
139.0,139
87.0,87
111.0,111
118.0,118
79.0,79
95.0,95
291.0,291
87.0,87
319.0,319
197.0,197
131.0,131
200.0,200
276.0,276
109.0,109
97.0,97
112.0,112
112.0,112
108.0,108
108.0,108
99.0,99
110.0,110
97.0,97
122.0,122
100.0,100
93.0,93
101.0,101
103.0,103
16.0,16
102.0,102
95.0,95
98.0,98
103.0,103
105.0,105
101.0,101
97.0,97
98.0,98
97.0,97
92.0,92
95.0,95
101.0,101
103.0,103
99.0,99
106.0,106
