rollout/exploration_rate,time/fps,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.845632,137,4,0,49,,,,,
0.8424228571428573,166,8,0,85,4.0,310.0,,,
0.8395702857142856,179,12,0,117,3.0,288.0,,,
0.8377874285714284,178,16,0,137,2.0,249.0,,,
0.8352022857142858,185,20,0,166,1.75,240.25,,,
0.8321714285714286,194,24,1,200,1.75,240.25,,,
0.8287840000000001,201,28,1,238,1.8,234.2,,,
0.8271794285714285,200,32,1,256,1.8333333333333333,233.83333333333334,,,
0.8244159999999999,202,36,1,287,1.7142857142857142,230.42857142857142,,,
0.8218308571428572,205,40,1,316,1.625,228.625,,,
0.8202262857142856,206,44,1,334,1.625,228.625,,,
0.8184434285714286,206,48,1,354,1.4444444444444444,220.11111111111111,,,
0.8160365714285713,207,52,1,381,1.4,218.3,,,
0.8126491428571428,210,56,1,419,1.4545454545454546,220.1818181818182,,,
0.809350857142857,212,60,2,456,1.5,222.16666666666666,,,
0.8075680000000001,213,64,2,476,1.5,222.16666666666666,,,
0.8022194285714285,218,68,2,536,1.3846153846153846,217.46153846153845,,,
0.8004365714285713,216,72,2,556,1.5714285714285714,225.07142857142858,,,
0.797673142857143,217,76,2,587,1.5333333333333334,224.66666666666666,,,
0.7942857142857143,218,80,2,625,1.5625,226.0,,,
0.7908982857142857,220,84,3,663,1.5625,226.0,,,
0.7891154285714286,219,88,3,683,1.588235294117647,226.0,,,
0.785728,221,92,3,721,1.5,222.83333333333334,,,
0.7800228571428571,224,96,3,785,1.736842105263158,232.47368421052633,,,
0.7766354285714286,225,100,3,823,1.75,232.7,,,
0.7719999999999999,227,104,3,875,1.75,232.7,,,
0.7703954285714286,225,108,3,893,1.8571428571428572,235.66666666666666,,,
0.7662057142857144,226,112,4,940,1.8181818181818181,234.77272727272728,,,
0.7646011428571428,225,116,4,958,1.826086956521739,234.69565217391303,,,
0.7615702857142855,225,120,4,992,1.8333333333333333,234.625,,,
0.7597874285714287,225,124,4,1012,1.8333333333333333,234.625,,,
0.757024,225,128,4,1043,1.76,231.44,,,
0.7543497142857143,225,132,4,1073,1.7692307692307692,232.30769230769232,,,
0.7515862857142858,225,136,4,1104,1.7407407407407407,231.25925925925927,,,
0.7471291428571429,227,140,5,1154,1.7857142857142858,232.82142857142858,,,
0.7437417142857143,228,144,5,1192,1.7857142857142858,232.82142857142858,,,
0.7399977142857144,229,148,5,1234,1.793103448275862,232.31034482758622,,,
0.7373234285714284,229,152,5,1264,1.8333333333333333,234.83333333333334,,,
0.7355405714285714,229,156,5,1284,1.7741935483870968,232.32258064516128,,,
0.7311725714285713,230,160,5,1333,1.8125,233.78125,,,
0.7279634285714285,230,164,5,1369,1.8125,233.78125,,,
0.725734857142857,230,168,6,1394,1.8181818181818181,233.42424242424244,,,
0.7239520000000002,229,172,6,1414,1.7941176470588236,232.47058823529412,,,
0.7221691428571428,228,176,6,1434,1.7428571428571429,231.0,,,
0.7205645714285713,228,180,6,1452,1.6944444444444444,229.02777777777777,,,
0.71896,227,184,6,1470,1.6944444444444444,229.02777777777777,,,
0.7157508571428572,220,188,6,1506,1.6486486486486487,226.94594594594594,1,0.014765969477593899,0.0007
0.7119177142857143,218,192,7,1549,1.6842105263157894,227.97368421052633,12,0.026857245713472366,0.0007
0.7090651428571428,217,196,7,1581,1.7179487179487178,229.66666666666666,20,0.04672861844301224,0.0007
0.7042514285714285,216,200,7,1635,1.75,231.425,33,0.012179826386272907,0.0007
0.7024685714285713,216,204,7,1655,1.75,231.425,38,0.0013528292765840888,0.0007
0.7006857142857144,214,208,7,1675,1.7073170731707317,229.73170731707316,43,0.04695142060518265,0.0007
0.695961142857143,214,212,8,1728,1.6904761904761905,229.35714285714286,56,0.002371413866057992,0.0007
0.6941782857142857,212,216,8,1748,1.697674418604651,229.8139534883721,61,0.0005281508783809841,0.0007
0.6909691428571428,211,220,8,1784,1.7045454545454546,230.1590909090909,70,0.022979523986577988,0.0007
0.6891862857142856,210,224,8,1804,1.7045454545454546,230.1590909090909,75,0.0018080316949635744,0.0007
0.68776,209,228,8,1820,1.6666666666666667,228.84444444444443,79,0.022787632420659065,0.0007
0.6859771428571428,208,232,8,1840,1.6304347826086956,227.41304347826087,84,0.023924870416522026,0.0007
0.6841942857142856,207,236,8,1860,1.5957446808510638,225.95744680851064,89,0.024463508278131485,0.0007
0.6809851428571427,207,240,9,1896,1.6041666666666667,226.0,98,0.023451777175068855,0.0007
0.6782217142857141,206,244,9,1927,1.6041666666666667,226.0,106,0.046467509120702744,0.0007
0.6766171428571428,206,248,9,1945,1.5918367346938775,225.59183673469389,111,0.002514385851100087,0.0007
0.6750125714285713,205,252,9,1963,1.56,223.84,115,0.012389684095978737,0.0007
0.6718034285714285,204,256,9,1999,1.5686274509803921,224.2156862745098,124,0.011855633929371834,0.0007
0.6687725714285713,203,260,9,2033,1.5769230769230769,224.53846153846155,133,0.03656752407550812,0.0007
0.6669897142857143,202,264,10,2053,1.5769230769230769,224.53846153846155,138,0.005176253151148558,0.0007
0.6652068571428571,202,268,10,2073,1.5471698113207548,223.52830188679246,143,0.013654920272529125,0.0007
0.6618194285714286,202,272,10,2111,1.5185185185185186,222.24074074074073,152,0.02388378046452999,0.0007
0.6589668571428571,201,276,10,2143,1.5454545454545454,223.2,160,0.047655340284109116,0.0007
0.6563817142857143,201,280,10,2172,1.5357142857142858,222.78571428571428,167,0.02057546190917492,0.0007
