time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0,4,133,49,0.9941199999999999,,,,,
0,8,161,85,0.9897999999999998,4.0,310.0,,,
0,12,176,117,0.9859600000000002,3.0,288.0,,,
0,16,179,137,0.98356,2.0,249.0,,,
0,20,187,166,0.9800800000000001,1.75,240.25,,,
1,24,198,200,0.976,1.75,240.25,,,
1,28,204,238,0.97144,1.8,234.2,,,
1,32,203,256,0.9692800000000001,1.8333333333333333,233.83333333333334,,,
1,36,205,287,0.9655599999999998,1.7142857142857142,230.42857142857142,,,
1,40,208,316,0.9620799999999999,1.625,228.625,,,
1,44,208,334,0.9599200000000001,1.625,228.625,,,
1,48,207,354,0.9575199999999999,1.4444444444444444,220.11111111111111,,,
1,52,208,381,0.95428,1.4,218.3,,,
1,56,211,419,0.9497199999999999,1.4545454545454546,220.1818181818182,,,
2,60,214,456,0.9452800000000001,1.5,222.16666666666666,,,
2,64,214,476,0.9428799999999999,1.5,222.16666666666666,,,
2,68,220,536,0.9356800000000002,1.3846153846153846,217.46153846153845,,,
2,72,219,556,0.9332799999999999,1.5714285714285714,225.07142857142858,,,
2,76,220,587,0.92956,1.5333333333333334,224.66666666666666,,,
2,80,222,625,0.925,1.5625,226.0,,,
2,84,225,663,0.9204399999999999,1.5625,226.0,,,
3,88,224,683,0.9180400000000002,1.588235294117647,226.0,,,
3,92,225,721,0.9134800000000002,1.5,222.83333333333334,,,
3,96,228,785,0.9057999999999999,1.736842105263158,232.47368421052633,,,
3,100,229,823,0.9012399999999999,1.75,232.7,,,
3,104,231,875,0.8950000000000001,1.75,232.7,,,
3,108,230,893,0.8928399999999999,1.8571428571428572,235.66666666666666,,,
4,112,231,940,0.8872000000000002,1.8181818181818181,234.77272727272728,,,
4,116,229,958,0.8850399999999998,1.826086956521739,234.69565217391303,,,
4,120,230,992,0.8809599999999997,1.8333333333333333,234.625,,,
4,124,229,1012,0.87856,1.8333333333333333,234.625,,,
4,128,229,1043,0.8748400000000002,1.76,231.44,,,
4,132,230,1073,0.87124,1.7692307692307692,232.30769230769232,,,
4,136,230,1104,0.8675200000000003,1.7407407407407407,231.25925925925927,,,
4,140,232,1154,0.8615199999999998,1.7857142857142858,232.82142857142858,,,
5,144,233,1192,0.8569599999999997,1.7857142857142858,232.82142857142858,,,
5,148,234,1234,0.8519199999999998,1.793103448275862,232.31034482758622,,,
5,152,234,1264,0.8483200000000002,1.8333333333333333,234.83333333333334,,,
5,156,233,1284,0.8459199999999999,1.7741935483870968,232.32258064516128,,,
5,160,235,1333,0.8400399999999998,1.8125,233.78125,,,
5,164,235,1369,0.8357200000000002,1.8125,233.78125,,,
5,168,235,1394,0.8327199999999998,1.8181818181818181,233.42424242424244,,,
6,172,233,1414,0.8303200000000001,1.7941176470588236,232.47058823529412,,,
6,176,233,1434,0.8279199999999998,1.7428571428571429,231.0,,,
6,180,232,1452,0.82576,1.6944444444444444,229.02777777777777,,,
6,184,232,1470,0.8236000000000002,1.6944444444444444,229.02777777777777,,,
6,188,232,1506,0.8192800000000002,1.6486486486486487,226.94594594594594,,,
6,192,232,1541,0.8150799999999998,1.6842105263157894,227.8684210526316,,,
6,196,233,1569,0.8117200000000002,1.6923076923076923,228.46153846153845,,,
6,200,233,1600,0.8079999999999998,1.675,227.95,,,
7,204,234,1650,0.8019999999999999,1.675,227.95,,,
7,208,233,1668,0.7998400000000002,1.7073170731707317,229.29268292682926,,,
7,212,234,1730,0.7924,1.7142857142857142,229.85714285714286,,,
7,216,235,1779,0.7865199999999998,1.744186046511628,231.04651162790697,,,
7,220,234,1795,0.7846000000000001,1.75,231.11363636363637,,,
7,224,234,1815,0.7822000000000002,1.75,231.11363636363637,,,
7,228,234,1861,0.7766799999999998,1.711111111111111,229.95555555555555,,,
8,232,233,1879,0.7745200000000001,1.7391304347826086,230.7608695652174,,,
8,236,234,1942,0.7669600000000001,1.7872340425531914,232.93617021276594,,,
8,240,234,1969,0.7637200000000002,1.7708333333333333,232.08333333333334,,,
8,244,235,2011,0.7586800000000002,1.7708333333333333,232.08333333333334,,,
8,248,235,2029,0.7565199999999999,1.7755102040816326,232.28571428571428,,,
8,252,234,2049,0.7541200000000002,1.74,230.72,,,
8,256,234,2078,0.7506399999999998,1.7254901960784315,230.4313725490196,,,
9,260,235,2142,0.7429600000000001,1.7884615384615385,232.8846153846154,,,
9,264,235,2187,0.7375599999999999,1.7884615384615385,232.8846153846154,,,
9,268,236,2216,0.7340800000000001,1.8113207547169812,233.45283018867926,,,
9,272,236,2245,0.7306000000000001,1.8148148148148149,233.46296296296296,,,
9,276,236,2274,0.7271200000000002,1.8,232.6909090909091,,,
9,280,236,2310,0.7228000000000001,1.8035714285714286,232.60714285714286,,,
9,284,236,2341,0.7190799999999997,1.8035714285714286,232.60714285714286,,,
10,288,237,2401,0.7118800000000001,1.8070175438596492,232.98245614035088,,,
10,292,237,2437,0.70756,1.8620689655172413,235.0344827586207,,,
10,296,237,2457,0.7051600000000002,1.8305084745762712,233.67796610169492,,,
10,300,237,2493,0.7008400000000001,1.8333333333333333,233.86666666666667,,,
