rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
23.0,9544,23.0,92,0,4,0.9668800000000008,,,
24.75,599,24.75,198,0,8,0.9287200000000007,0.20705249905586243,97,0.0002
26.666666666666668,443,26.666666666666668,320,0,12,0.8848000000000007,0.011472182348370552,219,0.0002
26.125,403,26.125,418,1,16,0.8495199999999994,0.0025448782835155725,317,0.0002
24.25,388,24.25,485,1,20,0.8253999999999992,0.002031672280281782,384,0.0002
25.041666666666668,373,25.041666666666668,601,1,24,0.7836399999999994,0.02414686791598797,500,0.0002
25.0,365,25.0,700,1,28,0.7479999999999998,0.02130524069070816,599,0.0002
24.1875,355,24.1875,774,2,32,0.7213599999999991,0.021770523861050606,673,0.0002
23.944444444444443,347,23.944444444444443,862,2,36,0.6896799999999994,0.023538019508123398,761,0.0002
23.725,342,23.725,949,2,40,0.6583600000000001,0.01956213265657425,848,0.0002
23.363636363636363,338,23.363636363636363,1028,3,44,0.6299199999999996,0.0880383849143982,927,0.0002
23.333333333333332,334,23.333333333333332,1120,3,48,0.5968000000000004,0.054558005183935165,1019,0.0002
23.576923076923077,333,23.576923076923077,1226,3,52,0.5586400000000002,0.040699515491724014,1125,0.0002
23.5,330,23.5,1316,3,56,0.5262399999999998,0.01727934181690216,1215,0.0002
23.8,326,23.8,1428,4,60,0.48591999999999946,0.05636123940348625,1327,0.0002
23.796875,311,23.796875,1523,4,64,0.45171999999999923,0.11992210149765015,1422,0.0002
24.352941176470587,299,24.352941176470587,1656,5,68,0.4038399999999993,0.04881677404046059,1555,0.0002
24.666666666666668,297,24.666666666666668,1776,5,72,0.36064000000000007,0.15168510377407074,1675,0.0002
25.06578947368421,298,25.06578947368421,1905,6,76,0.3141999999999996,0.07448279112577438,1804,0.0002
25.225,296,25.225,2018,6,80,0.2735200000000009,0.15526528656482697,1917,0.0002
26.535714285714285,297,26.535714285714285,2229,7,84,0.19756000000000096,0.14472533762454987,2128,0.0002
31.806818181818183,299,31.806818181818183,2799,9,88,0.1,0.10439804941415787,2698,0.0002
39.141304347826086,296,39.141304347826086,3601,12,92,0.1,0.07156529277563095,3500,0.0002
44.9375,293,44.9375,4314,14,96,0.1,0.050802916288375854,4213,0.0002
51.01,292,51.01,5101,17,100,0.1,0.04426516965031624,5000,0.0002
57.27,294,57.27,5819,19,104,0.1,0.11920499056577682,5718,0.0002
64.39,296,64.39,6637,22,108,0.1,0.006819486618041992,6536,0.0002
70.22,296,70.22,7342,24,112,0.1,0.0945151150226593,7241,0.0002
75.97,297,75.97,8015,26,116,0.1,0.3474108576774597,7914,0.0002
82.96,296,82.96,8781,29,120,0.1,0.16613270342350006,8680,0.0002
88.39,296,88.39,9440,31,124,0.1,0.1701401174068451,9339,0.0002
92.88,294,92.88,9988,33,128,0.1,0.23373712599277496,9887,0.0002
98.42,290,98.42,10616,36,132,0.1,0.13133706152439117,10515,0.0002
102.52,290,102.52,11114,38,136,0.1,0.2362673431634903,11013,0.0002
106.81,288,106.81,11630,40,140,0.1,0.13322733342647552,11529,0.0002
110.77,289,110.77,12105,41,144,0.1,0.26913875341415405,12004,0.0002
114.79,290,114.79,12599,43,148,0.1,0.0019954440649598837,12498,0.0002
118.88,291,118.88,13114,45,152,0.1,0.002566023264080286,13013,0.0002
123.44,290,123.44,13660,46,156,0.1,0.004386472050100565,13559,0.0002
127.95,292,127.95,14223,48,160,0.1,0.15677210688591003,14122,0.0002
134.51,293,134.51,14974,51,164,0.1,0.0025601722300052643,14873,0.0002
139.92,292,139.92,15648,53,168,0.1,0.0012977335136383772,15547,0.0002
145.49,291,145.49,16325,55,172,0.1,0.14959338307380676,16224,0.0002
150.23,292,150.23,16928,57,176,0.1,0.24068227410316467,16827,0.0002
156.41,292,156.41,17659,60,180,0.1,0.1567230373620987,17558,0.0002
160.05,292,160.05,18234,62,184,0.1,0.44798851013183594,18133,0.0002
