time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
196,0,4,49,0.9676600000000003,,,,,
225,0,8,85,0.9438999999999996,4.0,310.0,,,
240,0,12,117,0.9227799999999997,3.0,288.0,,,
237,0,16,137,0.90958,2.0,249.0,,,
246,0,20,166,0.89044,1.75,240.25,,,
255,0,24,200,0.8680000000000002,1.75,240.25,,,
261,0,28,238,0.8429199999999997,1.8,234.2,,,
257,0,32,256,0.8310399999999999,1.8333333333333333,233.83333333333334,,,
258,1,36,287,0.81058,1.7142857142857142,230.42857142857142,,,
260,1,40,316,0.7914399999999999,1.625,228.625,,,
260,1,44,334,0.7795600000000001,1.625,228.625,,,
258,1,48,354,0.7663600000000005,1.4444444444444444,220.11111111111111,,,
259,1,52,381,0.7485400000000002,1.4,218.3,,,
262,1,56,419,0.7234599999999998,1.4545454545454546,220.1818181818182,,,
265,1,60,456,0.6990400000000001,1.5,222.16666666666666,,,
265,1,64,476,0.6858399999999995,1.5,222.16666666666666,,,
273,1,68,536,0.6462400000000006,1.3846153846153846,217.46153846153845,,,
272,2,72,556,0.6330399999999998,1.5714285714285714,225.07142857142858,,,
272,2,76,587,0.6125799999999999,1.5333333333333334,224.66666666666666,,,
276,2,80,625,0.5875000000000004,1.5625,226.0,,,
274,2,84,663,0.5624199999999998,1.5625,226.0,,,
273,2,88,683,0.5492200000000003,1.588235294117647,226.0,,,
275,2,92,721,0.5241399999999997,1.5,222.83333333333334,,,
281,2,96,785,0.4819,1.736842105263158,232.47368421052633,,,
282,2,100,823,0.45682000000000056,1.75,232.7,,,
287,3,104,875,0.4224999999999999,1.75,232.7,,,
285,3,108,893,0.4106200000000001,1.8571428571428572,235.66666666666666,,,
288,3,112,940,0.37960000000000016,1.8181818181818181,234.77272727272728,,,
287,3,116,958,0.3677200000000004,1.826086956521739,234.69565217391303,,,
288,3,120,992,0.3452799999999996,1.8333333333333333,234.625,,,
282,3,124,1012,0.33208000000000004,1.8333333333333333,234.625,2,0.0001,0.018274608999490738
263,3,128,1050,0.3069999999999995,1.76,231.44,12,0.0001,0.07360005378723145
254,4,132,1070,0.29379999999999973,1.7692307692307692,231.84615384615384,17,0.0001,0.01566450484097004
241,4,136,1106,0.2700400000000003,1.7777777777777777,231.59259259259258,26,0.0001,0.0015410317573696375
234,4,140,1126,0.2568400000000005,1.7142857142857142,228.82142857142858,31,0.0001,0.015277916565537453
228,5,144,1146,0.24363999999999986,1.7142857142857142,228.82142857142858,36,0.0001,0.0004885228117927909
217,5,148,1184,0.21856000000000042,1.6551724137931034,226.24137931034483,45,0.0001,0.0004979487857781351
207,5,152,1204,0.20535999999999965,1.6666666666666667,226.8,50,0.0001,0.0007693964289501309
201,6,156,1224,0.19216,1.6129032258064515,224.5483870967742,55,0.0001,0.0002981026773341
