rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
23.0,9599,23.0,92,0,4,0.9917200000000002,,,
22.375,752,22.375,179,0,8,0.9838899999999999,0.016008680686354637,78,0.0005
23.666666666666668,534,23.666666666666668,284,0,12,0.97444,0.0009461403824388981,183,0.0005
26.0,468,26.0,416,0,16,0.9625600000000001,0.0003618975169956684,315,0.0005
25.3,416,25.3,506,1,20,0.9544599999999999,0.31620460748672485,405,0.0005
24.041666666666668,348,24.041666666666668,577,1,24,0.94807,0.012688742019236088,476,0.0005
22.714285714285715,330,22.714285714285715,636,1,28,0.9427600000000003,0.02097325399518013,535,0.0005
22.03125,316,22.03125,705,2,32,0.93655,0.01307346299290657,604,0.0005
21.77777777777778,317,21.77777777777778,784,2,36,0.9294399999999998,0.007178549654781818,683,0.0005
21.7,321,21.7,868,2,40,0.9218799999999998,0.012608306482434273,767,0.0005
21.318181818181817,323,21.318181818181817,938,2,44,0.9155800000000001,0.020869344472885132,837,0.0005
21.708333333333332,325,21.708333333333332,1042,3,48,0.9062200000000001,0.06062786281108856,941,0.0005
21.0,326,21.0,1092,3,52,0.9017200000000001,0.021549610421061516,991,0.0005
21.089285714285715,324,21.089285714285715,1181,3,56,0.8937100000000001,0.06486884504556656,1080,0.0005
21.15,325,21.15,1269,3,60,0.8857900000000002,0.05250569432973862,1168,0.0005
21.046875,325,21.046875,1347,4,64,0.8787700000000002,0.023816928267478943,1246,0.0005
22.058823529411764,326,22.058823529411764,1500,4,68,0.8649999999999999,0.004628563299775124,1399,0.0005
22.22222222222222,324,22.22222222222222,1600,4,72,0.8559999999999999,0.021535906940698624,1499,0.0005
23.013157894736842,322,23.013157894736842,1749,5,76,0.84259,0.0549950897693634,1648,0.0005
23.075,320,23.075,1846,5,80,0.8338600000000003,0.008870438672602177,1745,0.0005
22.892857142857142,319,22.892857142857142,1923,6,84,0.8269299999999997,0.0428260937333107,1822,0.0005
22.568181818181817,318,22.568181818181817,1986,6,88,0.8212600000000001,0.0611073262989521,1885,0.0005
22.695652173913043,318,22.695652173913043,2088,6,92,0.8120799999999999,0.006476996466517448,1987,0.0005
23.083333333333332,316,23.083333333333332,2216,6,96,0.8005599999999999,0.08136572688817978,2115,0.0005
23.28,312,23.28,2328,7,100,0.7904799999999998,0.06270963698625565,2227,0.0005
25.03,302,25.03,2595,8,104,0.7664499999999997,0.06455985456705093,2494,0.0005
25.3,299,25.3,2709,9,108,0.7561899999999999,0.08721212297677994,2608,0.0005
25.72,293,25.72,2856,9,112,0.7429600000000003,0.05439937114715576,2755,0.0005
26.26,285,26.26,3042,10,116,0.72622,0.12436944246292114,2941,0.0005
26.65,284,26.65,3171,11,120,0.7146099999999999,0.15405483543872833,3070,0.0005
27.49,284,27.49,3326,11,124,0.7006599999999998,0.028241954743862152,3225,0.0005
28.24,285,28.24,3460,12,128,0.6885999999999999,0.07763544470071793,3359,0.0005
29.23,286,29.23,3628,12,132,0.6734800000000003,0.1610172986984253,3527,0.0005
30.55,284,30.55,3839,13,136,0.6544900000000002,0.01987634412944317,3738,0.0005
32.93,280,32.93,4161,14,140,0.6255100000000002,0.09432772547006607,4060,0.0005
34.98,280,34.98,4436,15,144,0.60076,0.1255955994129181,4335,0.0005
37.26,283,37.26,4768,16,148,0.57088,0.07288088649511337,4667,0.0005
39.77,285,39.77,5069,17,152,0.5437899999999999,0.1666097640991211,4968,0.0005
42.59,287,42.59,5440,18,156,0.5104,0.023259082809090614,5339,0.0005
47.36,286,47.36,6005,20,160,0.4595500000000001,0.1366376280784607,5904,0.0005
50.3,288,50.3,6377,22,164,0.42607000000000006,0.23253478109836578,6276,0.0005
52.88,290,52.88,6788,23,168,0.38908,0.5062854290008545,6687,0.0005
58.56,291,58.56,7456,25,172,0.3289599999999999,0.009965885430574417,7355,0.0005
64.18,294,64.18,8167,27,176,0.2649699999999998,0.00431810412555933,8066,0.0005
67.73,296,67.73,8619,29,180,0.2242900000000002,0.1712253838777542,8518,0.0005
72.96,296,72.96,9219,31,184,0.17029000000000005,0.029896408319473267,9118,0.0005
77.45,295,77.45,9731,32,188,0.12421000000000004,0.66214519739151,9630,0.0005
89.62,297,89.62,11050,37,192,0.1,0.038283322006464005,10949,0.0005
98.05,299,98.05,12021,40,196,0.1,0.22555066645145416,11920,0.0005
107.35,298,107.35,13063,43,200,0.1,0.015700235962867737,12962,0.0005
108.29,298,108.29,13424,44,204,0.1,0.0032092155888676643,13323,0.0005
110.87,297,110.87,13796,46,208,0.1,0.006699018180370331,13695,0.0005
112.79,297,112.79,14135,47,212,0.1,0.0018555610440671444,14034,0.0005
113.37,296,113.37,14379,48,216,0.1,0.009399684146046638,14278,0.0005
115.43,294,115.43,14714,49,220,0.1,0.35053950548171997,14613,0.0005
117.45,295,117.45,15071,51,224,0.1,0.35035648941993713,14970,0.0005
122.97,295,122.97,15757,53,228,0.1,0.0052736918441951275,15656,0.0005
124.57,293,124.57,16085,54,232,0.1,0.005858322139829397,15984,0.0005
124.16,293,124.16,16255,55,236,0.1,0.004546056967228651,16154,0.0005
125.58,293,125.58,16719,56,240,0.1,0.00172330008354038,16618,0.0005
129.16,293,129.16,17352,59,244,0.1,0.004377933219075203,17251,0.0005
131.45,293,131.45,17913,61,248,0.1,0.02219421975314617,17812,0.0005
144.22,293,144.22,19491,66,252,0.1,0.39318400621414185,19390,0.0005
148.87,293,148.87,20327,69,256,0.1,0.0032626360189169645,20226,0.0005
152.15,291,152.15,21220,72,260,0.1,0.002437116578221321,21119,0.0005
156.57,289,156.57,22034,76,264,0.1,0.4013383686542511,21933,0.0005
162.71,289,162.71,23059,79,268,0.1,0.467696875333786,22958,0.0005
161.66,289,161.66,23622,81,272,0.1,0.0019444255158305168,23521,0.0005
161.39,288,161.39,24306,84,276,0.1,0.003742385655641556,24205,0.0005
160.8,288,160.8,24699,85,280,0.1,0.0023848225828260183,24598,0.0005
158.38,289,158.38,25057,86,284,0.1,0.4878579080104828,24956,0.0005
157.13,288,157.13,25444,88,288,0.1,0.863524854183197,25343,0.0005
147.99,288,147.99,25849,89,292,0.1,0.003728053066879511,25748,0.0005
142.34,287,142.34,26255,91,296,0.1,0.007816102355718613,26154,0.0005
137.5,287,137.5,26813,93,300,0.1,0.003318105125799775,26712,0.0005
140.42,286,140.42,27466,95,304,0.1,0.0045064957812428474,27365,0.0005
144.48,286,144.48,28244,98,308,0.1,0.6694934964179993,28143,0.0005
145.36,287,145.36,28671,99,312,0.1,0.5354932546615601,28570,0.0005
146.64,287,146.64,29043,101,316,0.1,0.017567144706845284,28942,0.0005
146.29,286,146.29,29343,102,320,0.1,0.004837807733565569,29242,0.0005
145.21,286,145.21,29592,103,324,0.1,0.30241742730140686,29491,0.0005
142.09,286,142.09,29966,104,328,0.1,0.006885930895805359,29865,0.0005
141.47,285,141.47,30232,105,332,0.1,0.005223407410085201,30131,0.0005
144.59,285,144.59,30714,107,336,0.1,0.5185251235961914,30613,0.0005
146.41,286,146.41,31360,109,340,0.1,0.0038961851969361305,31259,0.0005
145.08,286,145.08,31860,111,344,0.1,0.005298850126564503,31759,0.0005
143.67,286,143.67,32280,112,348,0.1,0.5733238458633423,32179,0.0005
130.69,286,130.69,32560,113,352,0.1,0.006491573993116617,32459,0.0005
126.34,286,126.34,32961,115,356,0.1,0.8957014679908752,32860,0.0005
121.9,287,121.9,33410,116,360,0.1,0.29474642872810364,33309,0.0005
117.99,287,117.99,33833,117,364,0.1,0.5615131258964539,33732,0.0005
111.8,287,111.8,34239,119,368,0.1,0.008264212869107723,34138,0.0005
109.37,287,109.37,34559,120,372,0.1,0.007662549149245024,34458,0.0005
106.81,288,106.81,34987,121,376,0.1,0.010719860903918743,34886,0.0005
107.28,288,107.28,35427,122,380,0.1,0.008987145498394966,35326,0.0005
108.0,288,108.0,35857,124,384,0.1,0.5575573444366455,35756,0.0005
107.45,288,107.45,36189,125,388,0.1,0.26663219928741455,36088,0.0005
106.57,289,106.57,36506,126,392,0.1,0.0030860782135277987,36405,0.0005
106.37,289,106.37,36892,127,396,0.1,0.0048068817704916,36791,0.0005
103.66,289,103.66,37179,128,400,0.1,0.0050290790386497974,37078,0.0005
101.73,288,101.73,37639,130,404,0.1,0.012748976238071918,37538,0.0005
97.55,288,97.55,37999,131,408,0.1,0.8356438875198364,37898,0.0005
97.31,288,97.31,38402,133,412,0.1,0.2077549546957016,38301,0.0005
98.18,288,98.18,38861,134,416,0.1,0.015363110229372978,38760,0.0005
98.64,288,98.64,39207,135,420,0.1,0.2086145281791687,39106,0.0005
100.71,288,100.71,39663,137,424,0.1,0.20807671546936035,39562,0.0005
102.13,288,102.13,40179,139,428,0.1,0.020200911909341812,40078,0.0005
103.98,289,103.98,40630,140,432,0.1,0.005144596099853516,40529,0.0005
102.57,289,102.57,40971,141,436,0.1,0.004921809304505587,40870,0.0005
100.79,289,100.79,41439,143,440,0.1,0.6274986267089844,41338,0.0005
101.11,289,101.11,41971,144,444,0.1,0.13752196729183197,41870,0.0005
101.55,289,101.55,42435,146,448,0.1,0.013897127471864223,42334,0.0005
102.45,289,102.45,42805,148,452,0.1,0.07909668236970901,42704,0.0005
103.01,288,103.01,43262,149,456,0.1,0.18397420644760132,43161,0.0005
102.51,289,102.51,43661,150,460,0.1,0.008227651007473469,43560,0.0005
103.12,289,103.12,44145,152,464,0.1,0.0036652102135121822,44044,0.0005
102.28,289,102.28,44467,153,468,0.1,0.00737478444352746,44366,0.0005
103.9,289,103.9,44949,155,472,0.1,0.0046286387369036674,44848,0.0005
103.08,289,103.08,45295,156,476,0.1,0.008329052478075027,45194,0.0005
101.74,289,101.74,45601,157,480,0.1,0.0464622899889946,45500,0.0005
100.81,289,100.81,45938,158,484,0.1,0.004008888266980648,45837,0.0005
99.99,289,99.99,46188,159,488,0.1,0.005740654654800892,46087,0.0005
99.07,288,99.07,46413,160,492,0.1,0.031669456511735916,46312,0.0005
99.27,288,99.27,46819,162,496,0.1,0.008071182295680046,46718,0.0005
99.86,288,99.86,47165,163,500,0.1,0.6375771164894104,47064,0.0005
98.67,288,98.67,47506,164,504,0.1,0.008923896588385105,47405,0.0005
100.34,288,100.34,48033,166,508,0.1,0.5794904232025146,47932,0.0005
99.64,288,99.64,48366,167,512,0.1,0.11171672493219376,48265,0.0005
99.16,289,99.16,48777,168,516,0.1,0.011225995607674122,48676,0.0005
98.92,289,98.92,49099,169,520,0.1,0.6719165444374084,48998,0.0005
97.57,289,97.57,49420,170,524,0.1,0.008026054129004478,49319,0.0005
93.92,289,93.92,49571,171,528,0.1,0.05983680114150047,49470,0.0005
92.83,289,92.83,49913,172,532,0.1,0.013990849256515503,49812,0.0005
