episode_reward,episode_length
30.0,30
20.0,20
20.0,20
22.0,22
55.0,55
11.0,11
23.0,23
36.0,36
15.0,15
13.0,13
25.0,25
19.0,19
20.0,20
11.0,11
22.0,22
10.0,10
14.0,14
45.0,45
22.0,22
13.0,13
16.0,16
11.0,11
18.0,18
11.0,11
20.0,20
21.0,21
14.0,14
14.0,14
21.0,21
13.0,13
11.0,11
17.0,17
21.0,21
18.0,18
11.0,11
13.0,13
34.0,34
11.0,11
11.0,11
12.0,12
21.0,21
17.0,17
10.0,10
12.0,12
25.0,25
19.0,19
20.0,20
20.0,20
13.0,13
11.0,11
14.0,14
26.0,26
10.0,10
15.0,15
12.0,12
10.0,10
13.0,13
12.0,12
8.0,8
13.0,13
26.0,26
11.0,11
9.0,9
11.0,11
12.0,12
12.0,12
16.0,16
20.0,20
12.0,12
11.0,11
10.0,10
17.0,17
9.0,9
10.0,10
9.0,9
10.0,10
11.0,11
16.0,16
10.0,10
10.0,10
13.0,13
9.0,9
16.0,16
12.0,12
11.0,11
9.0,9
19.0,19
11.0,11
14.0,14
12.0,12
13.0,13
9.0,9
9.0,9
14.0,14
13.0,13
11.0,11
13.0,13
9.0,9
11.0,11
22.0,22
9.0,9
17.0,17
13.0,13
20.0,20
15.0,15
31.0,31
19.0,19
12.0,12
20.0,20
14.0,14
20.0,20
20.0,20
21.0,21
22.0,22
20.0,20
30.0,30
20.0,20
18.0,18
22.0,22
17.0,17
15.0,15
20.0,20
15.0,15
15.0,15
14.0,14
11.0,11
18.0,18
26.0,26
39.0,39
46.0,46
44.0,44
32.0,32
18.0,18
44.0,44
33.0,33
31.0,31
30.0,30
43.0,43
38.0,38
37.0,37
26.0,26
28.0,28
31.0,31
26.0,26
24.0,24
32.0,32
31.0,31
17.0,17
34.0,34
21.0,21
19.0,19
10.0,10
29.0,29
18.0,18
29.0,29
23.0,23
17.0,17
11.0,11
27.0,27
15.0,15
29.0,29
8.0,8
9.0,9
10.0,10
10.0,10
8.0,8
10.0,10
11.0,11
10.0,10
8.0,8
8.0,8
9.0,9
9.0,9
10.0,10
10.0,10
9.0,9
10.0,10
11.0,11
10.0,10
10.0,10
8.0,8
9.0,9
11.0,11
8.0,8
9.0,9
10.0,10
9.0,9
9.0,9
10.0,10
