rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/learning_rate,train/loss
23.0,23.0,6312,0,92,0.8918120000000003,4,,,
21.0,21.0,868,0,168,0.885048,8,67,0.0001,0.44763293862342834
20.25,20.25,593,0,243,0.8783730000000002,12,142,0.0001,0.2892249822616577
20.4375,20.4375,519,0,327,0.870897,16,226,0.0001,0.1261334866285324
21.0,21.0,487,0,420,0.8626200000000002,20,319,0.0001,0.04101763293147087
20.5,20.5,463,1,492,0.8562120000000002,24,391,0.0001,0.011884085834026337
19.75,19.75,456,1,553,0.8507830000000002,28,452,0.0001,0.2120930403470993
19.6875,19.6875,440,1,630,0.8439300000000003,32,529,0.0001,0.060694754123687744
20.11111111111111,20.11111111111111,436,1,724,0.8355639999999998,36,623,0.0001,0.023747090250253677
20.25,20.25,418,1,810,0.82791,40,709,0.0001,0.006491729989647865
19.681818181818183,19.681818181818183,413,2,866,0.822926,44,765,0.0001,0.038325484842061996
19.145833333333332,19.145833333333332,412,2,919,0.8182090000000002,48,818,0.0001,0.04384041577577591
19.73076923076923,19.73076923076923,406,2,1026,0.8086860000000001,52,925,0.0001,0.17263822257518768
19.071428571428573,19.071428571428573,406,2,1068,0.8049479999999998,56,967,0.0001,0.12058985233306885
19.3,19.3,407,2,1158,0.7969380000000001,60,1057,0.0001,0.09025157243013382
19.09375,19.09375,405,3,1222,0.791242,64,1121,0.0001,0.0961565375328064
19.058823529411764,19.058823529411764,401,3,1296,0.7846560000000002,68,1195,0.0001,0.17218971252441406
19.23611111111111,19.23611111111111,398,3,1385,0.7767350000000003,72,1284,0.0001,0.05703950300812721
18.94736842105263,18.94736842105263,396,3,1440,0.7718399999999999,76,1339,0.0001,0.037727344781160355
18.8,18.8,394,3,1504,0.766144,80,1403,0.0001,0.4425734579563141
19.38095238095238,19.38095238095238,392,4,1628,0.7551079999999999,84,1527,0.0001,0.2219802588224411
19.181818181818183,19.181818181818183,390,4,1688,0.749768,88,1587,0.0001,0.15213081240653992
19.032608695652176,19.032608695652176,386,4,1751,0.7441609999999999,92,1650,0.0001,0.1119532659649849
18.927083333333332,18.927083333333332,381,4,1817,0.7382869999999999,96,1716,0.0001,0.1340159922838211
18.64,18.64,379,4,1864,0.7341040000000001,100,1763,0.0001,0.22056929767131805
18.32,18.32,376,5,1924,0.7287640000000002,104,1823,0.0001,0.15743376314640045
18.33,18.33,375,5,2001,0.7219110000000003,108,1900,0.0001,0.43076810240745544
18.39,18.39,376,5,2082,0.714702,112,1981,0.0001,0.1569102257490158
18.22,18.22,376,5,2149,0.708739,116,2048,0.0001,0.2315458357334137
17.99,17.99,377,5,2219,0.7025090000000002,120,2118,0.0001,0.0035340909380465746
18.2,18.2,377,6,2312,0.6942319999999997,124,2211,0.0001,0.186597540974617
18.25,18.25,377,6,2378,0.6883579999999998,128,2277,0.0001,0.006439944729208946
18.35,18.35,375,6,2465,0.680615,132,2364,0.0001,0.023352939635515213
18.34,18.34,376,6,2558,0.6723380000000001,136,2457,0.0001,0.3220255970954895
