rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/learning_rate,train/loss
23.0,23.0,10337,0,92,0.9817840000000004,4,,,
26.25,26.25,772,0,210,0.9584200000000002,8,109,0.0005,0.0076560042798519135
28.583333333333332,28.583333333333332,563,0,343,0.9320860000000002,12,242,0.0005,0.0007772879907861352
29.75,29.75,488,0,476,0.9057520000000003,16,375,0.0005,0.0002134356036549434
30.45,30.45,428,1,609,0.8794180000000004,20,508,0.0005,0.01608200930058956
28.791666666666668,28.791666666666668,390,1,691,0.8631819999999994,24,590,0.0005,0.008098438382148743
26.964285714285715,26.964285714285715,376,2,755,0.85051,28,654,0.0005,0.021272137761116028
26.8125,26.8125,372,2,858,0.8301160000000005,32,757,0.0005,0.0020889255683869123
26.166666666666668,26.166666666666668,368,2,942,0.8134840000000003,36,841,0.0005,0.004388241097331047
25.525,25.525,368,2,1021,0.797842,40,920,0.0005,0.14921751618385315
25.704545454545453,25.704545454545453,369,3,1131,0.7760620000000003,44,1030,0.0005,0.043688010424375534
25.020833333333332,25.020833333333332,371,3,1201,0.7622019999999996,48,1100,0.0005,0.06786903738975525
25.173076923076923,25.173076923076923,371,3,1309,0.7408180000000002,52,1208,0.0005,0.016930444166064262
24.857142857142858,24.857142857142858,372,3,1392,0.7243840000000002,56,1291,0.0005,0.034408554434776306
25.1,25.1,369,4,1506,0.7018119999999997,60,1405,0.0005,0.21134492754936218
25.8125,25.8125,372,4,1652,0.6729040000000004,64,1551,0.0005,0.11411100625991821
26.83823529411765,26.83823529411765,370,4,1825,0.6386500000000002,68,1724,0.0005,0.06335614621639252
26.51388888888889,26.51388888888889,371,5,1909,0.6220180000000002,72,1808,0.0005,0.06412038207054138
26.55263157894737,26.55263157894737,372,5,2018,0.6004360000000004,76,1917,0.0005,0.121756412088871
26.8875,26.8875,373,5,2151,0.5741019999999994,80,2050,0.0005,0.08002791553735733
27.547619047619047,27.547619047619047,373,6,2314,0.5418280000000002,84,2213,0.0005,0.007909153588116169
28.738636363636363,28.738636363636363,376,6,2529,0.4992580000000004,88,2428,0.0005,0.027601152658462524
30.01086956521739,30.01086956521739,371,7,2761,0.45332199999999956,92,2660,0.0005,0.1977922022342682
33.5625,33.5625,367,8,3222,0.3620439999999996,96,3121,0.0005,0.016748247668147087
37.96,37.96,370,10,3796,0.24839200000000017,100,3695,0.0005,0.014234485104680061
44.93,44.93,369,12,4585,0.09216999999999997,104,4484,0.0005,0.20670871436595917
52.7,52.7,364,15,5480,0.01,108,5379,0.0005,0.007759740110486746
59.91,59.91,366,17,6334,0.01,112,6233,0.0005,0.06704597920179367
66.87,66.87,363,19,7163,0.01,116,7062,0.0005,0.007756691426038742
74.63,74.63,362,22,8072,0.01,120,7971,0.0005,0.1501254290342331
81.04,81.04,363,24,8795,0.01,124,8694,0.0005,0.20951765775680542
86.94,86.94,361,26,9449,0.01,128,9348,0.0005,0.338304340839386
93.86,93.86,362,28,10244,0.01,132,10143,0.0005,0.2122746855020523
100.96,100.96,361,30,11038,0.01,136,10937,0.0005,0.02948012389242649
108.73,108.73,361,32,11894,0.01,140,11793,0.0005,0.0017522777197882533
115.72,115.72,361,35,12703,0.01,144,12602,0.0005,0.001806259504519403
123.47,123.47,360,37,13548,0.01,148,13447,0.0005,0.003293410874903202
129.64,129.64,360,39,14273,0.01,152,14172,0.0005,0.0018032798543572426
135.74,135.74,360,41,14966,0.01,156,14865,0.0005,0.7440121173858643
142.91,142.91,359,43,15797,0.01,160,15696,0.0005,0.014804741367697716
150.39,150.39,359,46,16691,0.01,164,16590,0.0005,0.7131859064102173
157.83,157.83,359,49,17608,0.01,168,17507,0.0005,1.4878021478652954
166.02,166.02,359,51,18511,0.01,172,18410,0.0005,0.6276513934135437
173.87,173.87,358,54,19405,0.01,176,19304,0.0005,0.001814044313505292
180.79,180.79,359,56,20230,0.01,180,20129,0.0005,0.0051048193126916885
187.34,187.34,359,58,21048,0.01,184,20947,0.0005,0.017570113763213158
195.47,195.47,358,61,22076,0.01,188,21975,0.0005,0.0007048093248158693
204.36,204.36,358,64,23197,0.01,192,23096,0.0005,0.0022254574578255415
206.73,206.73,358,66,23895,0.01,196,23794,0.0005,0.000870992720592767
