time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
49,0.9029799999999997,0,170,4,,,,,
85,0.8316999999999999,0,195,8,310.0,4.0,,,
117,0.7683400000000002,0,188,12,288.0,3.0,,,
137,0.7287400000000002,0,190,16,249.0,2.0,,,
166,0.6713199999999999,0,199,20,240.25,1.75,,,
200,0.6039999999999996,0,209,24,240.25,1.75,,,
238,0.5287600000000002,1,216,28,234.2,1.8,,,
256,0.4931199999999998,1,214,32,233.83333333333334,1.8333333333333333,,,
287,0.4317399999999999,1,215,36,230.42857142857142,1.7142857142857142,,,
316,0.37431999999999976,1,218,40,228.625,1.625,,,
334,0.3386800000000003,1,218,44,228.625,1.625,,,
354,0.29908000000000035,1,218,48,220.11111111111111,1.4444444444444444,,,
381,0.24561999999999962,1,219,52,218.3,1.4,,,
419,0.1703800000000002,1,222,56,220.1818181818182,1.4545454545454546,,,
456,0.09712000000000054,2,225,60,222.16666666666666,1.5,,,
476,0.05752000000000046,2,226,64,222.16666666666666,1.5,,,
536,0.01,2,233,68,217.46153846153845,1.3846153846153846,,,
556,0.01,2,232,72,225.07142857142858,1.5714285714285714,,,
587,0.01,2,233,76,224.66666666666666,1.5333333333333334,,,
625,0.01,2,236,80,226.0,1.5625,,,
663,0.01,2,239,84,226.0,1.5625,,,
683,0.01,2,238,88,226.0,1.588235294117647,,,
721,0.01,2,240,92,222.83333333333334,1.5,,,
785,0.01,3,245,96,232.47368421052633,1.736842105263158,,,
823,0.01,3,247,100,232.7,1.75,,,
875,0.01,3,250,104,232.7,1.75,,,
893,0.01,3,249,108,235.66666666666666,1.8571428571428572,,,
940,0.01,3,251,112,234.77272727272728,1.8181818181818181,,,
958,0.01,3,249,116,234.69565217391303,1.826086956521739,,,
992,0.01,3,251,120,234.625,1.8333333333333333,,,
1012,0.01,4,248,124,234.625,1.8333333333333333,0.0001,2,0.05987429618835449
1050,0.01,4,242,128,231.44,1.76,0.0001,12,0.0014564552111551166
1070,0.01,4,238,132,231.84615384615384,1.7692307692307692,0.0001,17,0.004566687159240246
1104,0.01,4,234,136,231.2962962962963,1.7777777777777777,0.0001,25,0.005522558931261301
1148,0.01,4,230,140,231.96428571428572,1.8214285714285714,0.0001,36,0.04919414967298508
1180,0.01,5,227,144,231.96428571428572,1.8214285714285714,0.0001,44,0.04495910555124283
1227,0.01,5,223,148,230.79310344827587,1.8275862068965518,0.0001,56,0.061665426939725876
1247,0.01,5,221,152,232.53333333333333,1.8666666666666667,0.0001,61,0.000843491405248642
1267,0.01,5,218,156,230.09677419354838,1.8064516129032258,0.0001,66,0.0023838477209210396
1287,0.01,5,216,160,228.0,1.75,0.0001,71,0.0023794490844011307
1307,0.01,6,214,164,228.0,1.75,0.0001,76,0.0003990218974649906
1327,0.01,6,212,168,225.87878787878788,1.696969696969697,0.0001,81,0.002544921590015292
1347,0.01,6,210,172,224.55882352941177,1.6470588235294117,0.0001,86,0.0035548489540815353
1367,0.01,6,208,176,223.31428571428572,1.6,0.0001,91,0.0022306698374450207
1405,0.01,6,206,180,223.77777777777777,1.6111111111111112,0.0001,101,0.0004043953085783869
1443,0.01,7,205,184,223.77777777777777,1.6111111111111112,0.0001,110,0.061751656234264374
1493,0.01,7,203,188,224.0,1.6216216216216217,0.0001,123,0.001438126782886684
1537,0.01,7,201,192,226.73684210526315,1.6842105263157894,0.0001,134,0.001798334764316678
1557,0.01,7,200,196,227.23076923076923,1.6923076923076923,0.0001,139,0.0044163065031170845
1595,0.01,8,198,200,227.45,1.7,0.0001,148,0.00043878075666725636
1633,0.01,8,197,204,227.45,1.7,0.0001,158,0.003188731614500284
1671,0.01,8,196,208,227.609756097561,1.7073170731707317,0.0001,167,0.0007125177653506398
1709,0.01,8,195,212,227.9047619047619,1.7142857142857142,0.0001,177,0.0014290855033323169
1729,0.01,8,194,216,228.02325581395348,1.7209302325581395,0.0001,182,0.0010078460909426212
1761,0.01,9,193,220,227.97727272727272,1.7272727272727273,0.0001,190,0.001289325300604105
1781,0.01,9,192,224,227.97727272727272,1.7272727272727273,0.0001,195,0.0014249576488509774
1819,0.01,9,191,228,226.88888888888889,1.6888888888888889,0.0001,204,0.0024424283765256405
1857,0.01,9,190,232,227.2391304347826,1.6956521739130435,0.0001,214,0.004886753391474485
1885,0.01,9,190,236,228.0,1.7234042553191489,0.0001,221,0.0014842660166323185
1916,0.01,10,189,240,227.58333333333334,1.7291666666666667,0.0001,228,0.0034271725453436375
1948,0.01,10,189,244,227.58333333333334,1.7291666666666667,0.0001,236,0.0034072280395776033
1981,0.01,10,188,248,227.14285714285714,1.7346938775510203,0.0001,245,0.05905972421169281
2029,0.01,10,187,252,227.76,1.76,0.0001,257,0.0017707175575196743
2056,0.01,11,186,256,228.58823529411765,1.7843137254901962,0.0001,263,0.0184714887291193
2100,0.01,11,185,260,229.53846153846155,1.8076923076923077,0.0001,274,0.003635308938100934
2146,0.01,11,183,264,229.53846153846155,1.8076923076923077,0.0001,286,0.06396058946847916
2182,0.01,11,182,268,230.39622641509433,1.830188679245283,0.0001,295,0.0003851591609418392
2212,0.01,12,181,272,230.90740740740742,1.8518518518518519,0.0001,302,0.00038792408304288983
2250,0.01,12,181,276,230.83636363636364,1.8545454545454545,0.0001,312,0.06767222285270691
2270,0.01,12,180,280,229.64285714285714,1.8214285714285714,0.0001,317,0.003388455370441079
2290,0.01,12,180,284,229.64285714285714,1.8214285714285714,0.0001,322,0.003059494076296687
2310,0.01,12,179,288,228.57894736842104,1.7894736842105263,0.0001,327,0.0007127254502847791
2366,0.01,13,179,292,228.77586206896552,1.793103448275862,0.0001,341,0.05866435915231705
2404,0.01,13,178,296,228.74576271186442,1.7966101694915255,0.0001,350,0.0008815770852379501
2436,0.01,13,178,300,229.95,1.8166666666666667,0.0001,358,0.0012563158525153995
2456,0.01,13,177,304,229.95,1.8166666666666667,0.0001,363,0.0716894343495369
2476,0.01,13,177,308,228.9672131147541,1.7868852459016393,0.0001,368,0.05746636539697647
2496,0.01,14,177,312,227.96774193548387,1.7580645161290323,0.0001,373,0.05472646281123161
2534,0.01,14,176,316,228.28571428571428,1.7619047619047619,0.0001,383,0.021374957635998726
2572,0.01,14,176,320,228.34375,1.765625,0.0001,392,0.0002661877078935504
2608,0.01,14,175,324,228.34375,1.765625,0.0001,401,0.07298853993415833
2667,0.01,15,175,328,228.86153846153846,1.7846153846153847,0.0001,416,0.015460674650967121
2717,0.01,15,175,332,229.86363636363637,1.803030303030303,0.0001,429,0.004994498565793037
2763,0.01,15,174,336,231.1492537313433,1.835820895522388,0.0001,440,0.00887881126254797
2789,0.01,16,174,340,231.8235294117647,1.8529411764705883,0.0001,447,0.000569965282920748
2848,0.01,16,174,344,231.8235294117647,1.8529411764705883,0.0001,461,0.0032753872219473124
2891,0.01,16,173,348,233.231884057971,1.8840579710144927,0.0001,472,0.008317217230796814
2965,0.01,17,173,352,234.4142857142857,1.9142857142857144,0.0001,491,0.00012160207552369684
2985,0.01,17,172,356,235.94366197183098,1.943661971830986,0.0001,496,0.07079597562551498
3005,0.01,17,171,360,235.16666666666666,1.9166666666666667,0.0001,501,0.0005740757333114743
3043,0.01,17,171,364,235.16666666666666,1.9166666666666667,0.0001,510,0.07397203892469406
3070,0.01,17,171,368,235.23287671232876,1.917808219178082,0.0001,517,0.007989754900336266
3095,0.01,18,170,372,234.7027027027027,1.9054054054054055,0.0001,523,0.01522898394614458
3109,0.01,18,170,376,234.16,1.8933333333333333,0.0001,527,0.002692136913537979
3132,0.01,18,170,380,233.5,1.881578947368421,0.0001,532,0.0008317551692016423
3165,0.01,18,169,384,233.5,1.881578947368421,0.0001,541,0.0031117324251681566
3190,0.01,18,169,388,233.14285714285714,1.8831168831168832,0.0001,547,0.001310904510319233
3222,0.01,19,169,392,232.55128205128204,1.8717948717948718,0.0001,555,0.12379825115203857
3258,0.01,19,168,396,232.39240506329114,1.8734177215189873,0.0001,564,0.13783878087997437
3302,0.01,19,168,400,233.6,1.9,0.0001,575,0.01599081978201866
3322,0.01,19,168,404,233.6,1.9,0.0001,580,0.00848180241882801
3349,0.01,19,168,408,232.85185185185185,1.876543209876543,0.0001,587,0.0075254905968904495
3376,0.01,20,167,412,232.90243902439025,1.8780487804878048,0.0001,593,0.007983338087797165
3396,0.01,20,167,416,232.24096385542168,1.855421686746988,0.0001,598,0.0012338736560195684
3425,0.01,20,167,420,231.89285714285714,1.8452380952380953,0.0001,606,0.011393357068300247
3462,0.01,20,166,424,231.89285714285714,1.8452380952380953,0.0001,615,0.055381905287504196
3494,0.01,20,166,428,231.74117647058824,1.8470588235294119,0.0001,623,0.005441466812044382
3532,0.01,21,166,432,231.53488372093022,1.8488372093023255,0.0001,632,0.06508641690015793
3564,0.01,21,166,436,232.31034482758622,1.8620689655172413,0.0001,640,0.0005631609237752855
3602,0.01,21,165,440,232.47727272727272,1.8636363636363635,0.0001,650,0.12707066535949707
3647,0.01,22,165,444,232.47727272727272,1.8636363636363635,0.0001,661,0.004040556028485298
3674,0.01,22,165,448,232.76404494382024,1.8764044943820224,0.0001,668,0.014001602306962013
3690,0.01,22,165,452,232.13333333333333,1.8666666666666667,0.0001,672,0.06101680546998978
3755,0.01,22,164,456,232.35164835164835,1.879120879120879,0.0001,688,0.00359232141636312
3796,0.01,23,164,460,233.54347826086956,1.9130434782608696,0.0001,698,0.00016671852790750563
3823,0.01,23,164,464,233.54347826086956,1.9130434782608696,0.0001,705,0.059437062591314316
3855,0.01,23,163,468,233.1290322580645,1.903225806451613,0.0001,713,0.0018958346918225288
3871,0.01,23,163,472,232.82978723404256,1.9042553191489362,0.0001,717,0.0009043937316164374
3922,0.01,24,163,476,232.62105263157895,1.9052631578947368,0.0001,730,0.0036812471225857735
3950,0.01,24,162,480,232.98958333333334,1.9166666666666667,0.0001,737,0.12470364570617676
3996,0.01,24,162,484,232.98958333333334,1.9166666666666667,0.0001,748,0.0038520845118910074
4023,0.01,24,162,488,233.39175257731958,1.9278350515463918,0.0001,755,0.06068811193108559
4050,0.01,25,161,492,233.37755102040816,1.9285714285714286,0.0001,762,0.0648370236158371
4070,0.01,25,161,496,232.75757575757575,1.9090909090909092,0.0001,767,0.005381397902965546
4090,0.01,25,161,500,232.24,1.89,0.0001,772,0.05149059370160103
4124,0.01,25,160,504,232.24,1.89,0.0001,780,0.0038799853064119816
4158,0.01,25,160,508,231.74,1.88,0.0001,789,0.060275256633758545
4185,0.01,26,160,512,231.47,1.88,0.0001,796,0.06767771393060684
4216,0.01,26,159,516,231.43,1.88,0.0001,803,0.0012530265375971794
4236,0.01,26,159,520,231.38,1.88,0.0001,808,0.0002358467027079314
4256,0.01,26,159,524,231.38,1.88,0.0001,813,0.011629998683929443
4276,0.01,26,159,528,231.09,1.86,0.0001,818,0.0007781299063935876
4314,0.01,27,158,532,230.48,1.84,0.0001,828,0.015629516914486885
4334,0.01,27,158,536,230.85,1.85,0.0001,833,0.005432782229036093
4372,0.01,27,158,540,231.19,1.86,0.0001,842,0.06982919573783875
4392,0.01,27,158,544,231.19,1.86,0.0001,847,0.058527857065200806
4428,0.01,28,157,548,232.12,1.88,0.0001,856,0.010206492617726326
4457,0.01,28,157,552,232.04,1.88,0.0001,864,0.06845163553953171
4495,0.01,28,157,556,231.24,1.86,0.0001,873,0.006287841126322746
4527,0.01,28,157,560,231.67,1.87,0.0001,881,0.008596563711762428
4561,0.01,29,157,564,231.67,1.87,0.0001,890,0.012901058420538902
4598,0.01,29,156,568,232.71,1.9,0.0001,899,0.0002925904409494251
4628,0.01,29,156,572,231.79,1.88,0.0001,906,0.011626374907791615
4664,0.01,29,156,576,231.95,1.89,0.0001,915,0.00038784981006756425
4698,0.01,30,156,580,231.6,1.89,0.0001,924,0.00250726449303329
4735,0.01,30,156,584,231.6,1.89,0.0001,933,0.00907584186643362
4749,0.01,30,155,588,231.76,1.89,0.0001,937,0.11373075842857361
4792,0.01,30,155,592,231.84,1.9,0.0001,947,0.0011885532876476645
4838,0.01,31,155,596,230.29,1.87,0.0001,959,0.18608224391937256
4866,0.01,31,155,600,230.72,1.88,0.0001,966,0.0027279220521450043
4940,0.01,31,155,604,230.72,1.88,0.0001,984,0.0019182510441169143
4972,0.01,32,155,608,231.47,1.9,0.0001,992,0.00017749436665326357
