rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/n_updates,train/loss
54.82,272,54.82,0.05,15008,39,380,0.002,14907,0.23395633697509766
55.31,276,55.31,0.05,15261,40,380,0.002,15160,0.004072234965860844
54.94,280,54.94,0.05,15542,40,380,0.002,15441,0.008478010073304176
56.09,284,56.09,0.05,15807,41,379,0.002,15706,0.015617254190146923
56.62,288,56.62,0.05,16083,42,378,0.002,15982,0.03199916332960129
57.4,292,57.4,0.05,16377,43,379,0.002,16276,0.9934298396110535
57.46,296,57.46,0.05,16590,43,379,0.002,16489,0.0075859446078538895
55.95,300,55.95,0.05,16662,43,379,0.002,16561,1.049942135810852
55.13,304,55.13,0.05,16820,44,379,0.002,16719,0.6840388774871826
53.4,308,53.4,0.05,16900,44,379,0.002,16799,0.7724502682685852
52.45,312,52.45,0.05,17050,44,379,0.002,16949,0.00380264176055789
52.62,316,52.62,0.05,17263,45,379,0.002,17162,0.02914658561348915
51.69,320,51.69,0.05,17450,45,379,0.002,17349,0.007639400195330381
52.16,324,52.16,0.05,17769,46,378,0.002,17668,0.026646044105291367
53.92,328,53.92,0.05,18103,47,378,0.002,18002,0.01945815235376358
55.98,332,55.98,0.05,18484,48,378,0.002,18383,1.1143850088119507
57.02,336,57.02,0.05,18866,49,378,0.002,18765,0.016542615368962288
57.15,340,57.15,0.05,19236,50,379,0.002,19135,1.1202436685562134
57.8,344,57.8,0.05,19474,51,379,0.002,19373,0.014395495876669884
60.04,348,60.04,0.05,19855,52,379,0.002,19754,0.009245774708688259
59.8,352,59.8,0.05,20103,53,378,0.002,20002,0.008082696236670017
60.83,356,60.83,0.05,20435,54,378,0.002,20334,1.263940691947937
61.82,360,61.82,0.05,20750,54,378,0.002,20649,0.011278410442173481
63.25,364,63.25,0.05,21031,55,378,0.002,20930,1.256259799003601
65.68,368,65.68,0.05,21410,56,378,0.002,21309,1.2044131755828857
67.19,372,67.19,0.05,21727,57,378,0.002,21626,0.008949659764766693
67.5,376,67.5,0.05,22011,58,378,0.002,21910,0.61067795753479
66.39,380,66.39,0.05,22181,58,377,0.002,22080,0.003250079695135355
66.53,384,66.53,0.05,22460,59,377,0.002,22359,0.016835259273648262
67.15,388,67.15,0.05,22798,60,378,0.002,22697,0.014308711513876915
66.92,392,66.92,0.05,23069,60,378,0.002,22968,0.02618354558944702
68.09,396,68.09,0.05,23399,61,378,0.002,23298,0.005608572158962488
69.75,400,69.75,0.05,23637,62,378,0.002,23536,0.4602283835411072
71.21,404,71.21,0.05,23941,63,378,0.002,23840,0.016791220754384995
73.26,408,73.26,0.05,24226,64,378,0.002,24125,0.029213236644864082
73.23,412,73.23,0.05,24373,64,377,0.002,24272,1.3939824104309082
73.3,416,73.3,0.05,24593,65,377,0.002,24492,0.024415966123342514
72.67,420,72.67,0.05,24717,65,377,0.002,24616,0.013637269847095013
71.63,424,71.63,0.05,24932,66,377,0.002,24831,0.5774492621421814
70.03,428,70.03,0.05,25106,66,377,0.002,25005,0.027367200702428818
67.77,432,67.77,0.05,25261,66,377,0.002,25160,0.02117873542010784
66.22,436,66.22,0.05,25488,67,377,0.002,25387,0.02401469461619854
64.63,440,64.63,0.05,25699,68,377,0.002,25598,0.004511075560003519
65.39,444,65.39,0.05,26013,68,377,0.002,25912,0.017060978338122368
64.62,448,64.62,0.05,26317,69,377,0.002,26216,0.027753356844186783
66.06,452,66.06,0.05,26709,70,377,0.002,26608,0.007433808408677578
67.03,456,67.03,0.05,27138,71,377,0.002,27037,0.0166647806763649
68.12,460,68.12,0.05,27562,72,377,0.002,27461,2.2167022228240967
68.45,464,68.45,0.05,27876,73,377,0.002,27775,1.5169835090637207
68.58,468,68.58,0.05,28268,74,378,0.002,28167,0.03607049211859703
69.52,472,69.52,0.05,28679,76,377,0.002,28578,0.04000389575958252
70.29,476,70.29,0.05,29040,76,377,0.002,28939,0.26572608947753906
70.85,480,70.85,0.05,29266,77,377,0.002,29165,0.04742167145013809
71.24,484,71.24,0.05,29584,78,377,0.002,29483,0.0293752271682024
71.35,488,71.35,0.05,29933,79,377,0.002,29832,0.008580498397350311
71.91,492,71.91,0.05,30260,80,377,0.002,30159,0.009243805892765522
72.25,496,72.25,0.05,30624,81,377,0.002,30523,0.0076606981456279755
72.89,500,72.89,0.05,30926,82,375,0.002,30825,0.022309793159365654
72.75,504,72.75,0.05,31216,83,375,0.002,31115,1.5851712226867676
73.52,508,73.52,0.05,31578,83,376,0.002,31477,1.5810160636901855
75.2,512,75.2,0.05,31893,84,376,0.002,31792,0.01486646756529808
76.58,516,76.58,0.05,32251,85,376,0.002,32150,0.021726379171013832
79.17,520,79.17,0.05,32634,86,376,0.002,32533,0.012046990916132927
80.02,524,80.02,0.05,32934,87,375,0.002,32833,0.5424583554267883
81.2,528,81.2,0.05,33226,88,375,0.002,33125,1.6266971826553345
82.94,532,82.94,0.05,33555,89,375,0.002,33454,0.22431936860084534
84.61,536,84.61,0.05,33949,90,376,0.002,33848,1.823021411895752
86.89,540,86.89,0.05,34388,91,376,0.002,34287,0.019724786281585693
87.57,544,87.57,0.05,34770,92,376,0.002,34669,0.03367624431848526
88.42,548,88.42,0.05,35159,93,375,0.002,35058,0.008285490795969963
88.02,552,88.02,0.05,35511,94,375,0.002,35410,0.024644440039992332
87.77,556,87.77,0.05,35915,95,375,0.002,35814,1.552438497543335
87.52,560,87.52,0.05,36314,96,375,0.002,36213,0.01964426040649414
88.24,564,88.24,0.05,36700,97,376,0.002,36599,0.1305496096611023
88.42,568,88.42,0.05,37110,98,375,0.002,37009,0.010615854524075985
88.19,572,88.19,0.05,37498,99,375,0.002,37397,0.0032954274211078882
87.8,576,87.8,0.05,37820,100,375,0.002,37719,0.12458925694227219
88.34,580,88.34,0.05,38100,101,375,0.002,37999,0.01585507020354271
86.56,584,86.56,0.05,38240,101,376,0.002,38139,0.0410478338599205
86.34,588,86.34,0.05,38567,102,376,0.002,38466,0.026746701449155807
85.4,592,85.4,0.05,38800,103,376,0.002,38699,0.014311892911791801
85.31,596,85.31,0.05,39155,104,375,0.002,39054,0.021351095288991928
84.04,600,84.04,0.05,39330,104,375,0.002,39229,0.1515791118144989
84.85,604,84.85,0.05,39701,105,375,0.002,39600,1.3059474229812622
84.45,608,84.45,0.05,40023,106,375,0.002,39922,0.011271066963672638
84.95,612,84.95,0.05,40388,107,375,0.002,40287,1.2515918016433716
85.77,616,85.77,0.05,40828,108,376,0.002,40727,0.06361360102891922
87.09,620,87.09,0.05,41343,110,375,0.002,41242,0.014367485418915749
92.37,624,92.37,0.05,42171,112,375,0.002,42070,0.015664180740714073
95.22,628,95.22,0.05,42748,113,376,0.002,42647,0.015833750367164612
97.09,632,97.09,0.05,43264,114,376,0.002,43163,0.0279803816229105
106.2,636,106.2,0.05,44569,118,376,0.002,44468,0.0349302813410759
121.81,640,121.81,0.05,46569,124,374,0.002,46468,0.024113018065690994
137.99,644,137.99,0.05,48569,130,372,0.002,48468,0.008702246472239494
