rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/learning_rate,train/loss
197.21,197.21,335,105,35369,0.1,268,35268,0.0002,0.08129745721817017
200.25,200.25,336,108,36350,0.1,272,36249,0.0002,0.0029444301035255194
204.59,204.59,335,111,37387,0.1,276,37286,0.0002,0.05073709040880203
208.3,208.3,335,114,38489,0.1,280,38388,0.0002,0.002384613500908017
212.11,212.11,336,117,39445,0.1,284,39344,0.0002,0.002698505762964487
216.39,216.39,336,120,40544,0.1,288,40443,0.0002,0.005719522945582867
220.86,220.86,336,123,41679,0.1,292,41578,0.0002,0.0023871937301009893
224.38,224.38,336,127,42756,0.1,296,42655,0.0002,0.0022480504121631384
231.62,231.62,336,131,44187,0.1,300,44086,0.0002,0.2512855529785156
237.11,237.11,336,135,45543,0.1,304,45442,0.0002,0.020345192402601242
241.42,241.42,336,138,46728,0.1,308,46627,0.0002,0.0017050692113116384
246.15,246.15,336,143,48158,0.1,312,48057,0.0002,0.002083476400002837
250.02,250.02,337,146,49346,0.1,316,49245,0.0002,0.0016190436435863376
